module_display_label,module_type,module_api_name,module_api_name_status,field_label,field_type,api_name,api_name_status,proposed_api_name,disposition,required,help_text,picklist_scope,picklist_values_and_colors,phase,section,notes,source_ids
Leases,custom,Leases,verified_live_mcp,Cosigner #1 Signed At,Date/Time,,proposed_unverified,Cosigner_1_Signed_At,candidate,false,Signature timestamp if available.,,,Contract Autofill,Contract & Signing,,MATRIX_2026-07-08
Leases,custom,Leases,verified_live_mcp,Cosigner #2 Signed At,Date/Time,,proposed_unverified,Cosigner_2_Signed_At,candidate,false,Signature timestamp if available.,,,Contract Autofill,Contract & Signing,,MATRIX_2026-07-08
Leases,custom,Leases,verified_live_mcp,Cosigner #3 Signed At,Date/Time,,proposed_unverified,Cosigner_3_Signed_At,candidate,false,Signature timestamp if available.,,,Contract Autofill,Contract & Signing,,MATRIX_2026-07-08
Leases,custom,Leases,verified_live_mcp,Fully Signed At,Date/Time,,proposed_unverified,Fully_Signed_At,candidate,false,Signature timestamp if available.,,,Contract Autofill,Contract & Signing,,MATRIX_2026-07-08
Leases,custom,Leases,verified_live_mcp,Landlord Signed At,Date/Time,,proposed_unverified,Landlord_Signed_At,candidate,false,Signature timestamp if available.,,,Contract Autofill,Contract & Signing,,MATRIX_2026-07-08
Leases,custom,Leases,verified_live_mcp,Signed Lease PDF URL,URL,,proposed_unverified,Signed_Lease_PDF_URL,candidate,false,Final fully signed PDF location.,,,Contract Autofill,Contract & Signing,,MATRIX_2026-07-08
Leases,custom,Leases,verified_live_mcp,Tenant #1 Signed At,Date/Time,,proposed_unverified,Tenant_1_Signed_At,candidate,false,Signature timestamp if available.,,,Contract Autofill,Contract & Signing,,MATRIX_2026-07-08
Leases,custom,Leases,verified_live_mcp,Tenant #2 Signed At,Date/Time,,proposed_unverified,Tenant_2_Signed_At,candidate,false,Signature timestamp if available.,,,Contract Autofill,Contract & Signing,,MATRIX_2026-07-08
Leases,custom,Leases,verified_live_mcp,Tenant #3 Signed At,Date/Time,,proposed_unverified,Tenant_3_Signed_At,candidate,false,Signature timestamp if available.,,,Contract Autofill,Contract & Signing,,MATRIX_2026-07-08
Leases,custom,Leases,verified_live_mcp,WorkDrive Lease Folder URL,URL,,proposed_unverified,WorkDrive_Lease_Folder_URL,candidate,false,Lease-specific folder.,,,Contract Autofill,Contract & Signing,,MATRIX_2026-07-08
Leases,custom,Leases,verified_live_mcp,Zoho Contracts Contract ID,Single Line,,proposed_unverified,Zoho_Contracts_Contract_ID,candidate,false,Zoho Contracts contract identifier.,,,Contract Autofill,Contract & Signing,,MATRIX_2026-07-08
Leases,custom,Leases,verified_live_mcp,Zoho Contracts Request ID,Single Line,,proposed_unverified,Zoho_Contracts_Request_ID,candidate,false,Contract request identifier.,,,Contract Autofill,Contract & Signing,,"MATRIX_2026-07-08,SETUP_SPEC"
Leases,custom,Leases,verified_live_mcp,Zoho Contracts Status,Pick List,,proposed_unverified,Zoho_Contracts_Status,candidate,false,Mirror contract lifecycle status.,local_recommended,Request Sent=#7C3AED | Draft=#2563EB | In Review=#4F46E5 | Negotiation=#7C3AED | Sent for Signature=#7C3AED | Partially Signed=#D97706 | Executed=#16A34A | Active=#16A34A | Amended=#92400E | Extended=#16A34A | Renewed=#2563EB | Terminated=#DC2626 | Cancelled=#6B7280,Contract Autofill,Contract & Signing,,MATRIX_2026-07-08
Leases,custom,Leases,verified_live_mcp,Zoho Sign Request ID,Single Line,,proposed_unverified,Zoho_Sign_Request_ID,candidate,false,Zoho Sign request ID if exposed.,,,Contract Autofill,Contract & Signing,,MATRIX_2026-07-08
Leases,custom,Leases,verified_live_mcp,Cosigner #1 Current Address,Address,,proposed_unverified,Cosigner_1_Current_Address,candidate,false,Cosigner #1 current mailing address.,,,Contract Autofill - Conditional,Cosigner Addendum,,MATRIX_2026-07-08
Leases,custom,Leases,verified_live_mcp,Cosigner #1 Email,Email,,proposed_unverified,Cosigner_1_Email,candidate,false,Cosigner #1 signing email.,,,Contract Autofill - Conditional,Cosigner Addendum,,MATRIX_2026-07-08
Leases,custom,Leases,verified_live_mcp,Cosigner #1 Full Legal Name,Single Line,,proposed_unverified,Cosigner_1_Full_Legal_Name,candidate,false,Cosigner #1 legal name.,,,Contract Autofill - Conditional,Cosigner Addendum,,MATRIX_2026-07-08
Leases,custom,Leases,verified_live_mcp,Cosigner #1 Government ID Checked?,Checkbox,,proposed_unverified,Cosigner_1_Government_ID_Checked,candidate,false,Government ID check status for cosigner #1.,,,Contract Autofill - Conditional,Cosigner Addendum,,MATRIX_2026-07-08
Leases,custom,Leases,verified_live_mcp,Cosigner #1 Phone,Phone,,proposed_unverified,Cosigner_1_Phone,candidate,false,Cosigner #1 phone.,,,Contract Autofill - Conditional,Cosigner Addendum,,MATRIX_2026-07-08
Leases,custom,Leases,verified_live_mcp,Cosigner #1 Relationship to Tenant,Single Line,,proposed_unverified,Cosigner_1_Relationship_to_Tenant,candidate,false,Cosigner #1 relationship to tenant.,,,Contract Autofill - Conditional,Cosigner Addendum,,MATRIX_2026-07-08
Leases,custom,Leases,verified_live_mcp,Cosigner #2 Current Address,Address,,proposed_unverified,Cosigner_2_Current_Address,candidate,false,Cosigner #2 current mailing address.,,,Contract Autofill - Conditional,Cosigner Addendum,,MATRIX_2026-07-08
Leases,custom,Leases,verified_live_mcp,Cosigner #2 Email,Email,,proposed_unverified,Cosigner_2_Email,candidate,false,Cosigner #2 signing email.,,,Contract Autofill - Conditional,Cosigner Addendum,,MATRIX_2026-07-08
Leases,custom,Leases,verified_live_mcp,Cosigner #2 Full Legal Name,Single Line,,proposed_unverified,Cosigner_2_Full_Legal_Name,candidate,false,Cosigner #2 legal name.,,,Contract Autofill - Conditional,Cosigner Addendum,,MATRIX_2026-07-08
Leases,custom,Leases,verified_live_mcp,Cosigner #2 Government ID Checked?,Checkbox,,proposed_unverified,Cosigner_2_Government_ID_Checked,candidate,false,Government ID check status for cosigner #2.,,,Contract Autofill - Conditional,Cosigner Addendum,,MATRIX_2026-07-08
Leases,custom,Leases,verified_live_mcp,Cosigner #2 Phone,Phone,,proposed_unverified,Cosigner_2_Phone,candidate,false,Cosigner #2 phone.,,,Contract Autofill - Conditional,Cosigner Addendum,,MATRIX_2026-07-08
Leases,custom,Leases,verified_live_mcp,Cosigner #2 Relationship to Tenant,Single Line,,proposed_unverified,Cosigner_2_Relationship_to_Tenant,candidate,false,Cosigner #2 relationship to tenant.,,,Contract Autofill - Conditional,Cosigner Addendum,,MATRIX_2026-07-08
