"Account Type","Account Name","Account Code","Parent Account","Normal Balance","Account Role","Live Zoho Status","Recommended Zoho Status","Tax / Reporting Mapping","Description","Existing Account ID"
"Income","Adjustments","4903","","Credit","Zoho System / Verify Workflow","Active","Keep Active – System / Review","System / Tax Mapping Review","Zoho adjustment control. Use only through the verified Zoho transaction workflow; do not use as a manual suspense, reconciliation plug, or substitute for correcting the source transaction. Review and clear unexpected balances.","PUBLIC-ACCT-0021"
"Cash","Undeposited Funds","1100","","Debit / Temporary","Zoho System / Clearing","Active","Keep Active – System / Reconcile","Balance Sheet / Not Direct Schedule E","Temporary control for cash or checks received but not yet deposited. Reconcile to deposit records and clear promptly; normal balance is debit while unsettled.","PUBLIC-ACCT-0001"
"Cash","Petty Cash","1110","","Debit","Cash / Reconcile","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Physical petty-cash fund used only for documented minor GH Real Estate costs. Reconcile to receipts and cash on hand; leave at zero if no actual fund exists.","PUBLIC-ACCT-0002"
"Accounts Receivable","Accounts Receivable","1200","","Debit","Zoho System Control","Active","Keep Active – System / Reconcile","Balance Sheet / Not Direct Schedule E","Zoho control account for issued customer invoices that remain unpaid. Use invoice, payment, and credit-note workflows rather than manual tenant postings.","PUBLIC-ACCT-0003"
"Other Current Asset","Advance Tax","1390","","Debit","Zoho System / Conditional","Active","Keep Active – System / Zero","Balance Sheet / Not Direct Schedule E","Zoho default account for genuine entity-level recoverable tax prepayments. Do not record the member's personal federal or state estimated income taxes here; leave at zero unless supported by an entity tax receivable.","PUBLIC-ACCT-0004"
"Accounts Payable","Accounts Payable","2000","","Credit","Zoho System Control","Active","Keep Active – System / Reconcile","Balance Sheet / Not Direct Schedule E","Zoho control account for approved vendor bills not yet paid. Use bills, vendor credits, and payments rather than manual entries.","PUBLIC-ACCT-0005"
"Other Current Liability","Tax Payable","2500","","Credit","Zoho System Control","Active","Keep Active – System / Reconcile","Balance Sheet / Not Direct Schedule E","Zoho control account for taxes collected or incurred and owed to a taxing authority. Do not use for property-tax expense.","PUBLIC-ACCT-0006"
"Equity","Retained Earnings","3010","","Credit","Zoho System / Equity Control","Active","Keep Active – System Equity Control","Balance Sheet / Not Direct Schedule E","Zoho account for accumulated prior-period earnings. Avoid manual posting except for accountant-approved entries.","PUBLIC-ACCT-0007"
"Equity","Member's Equity","3000","","Credit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Balance Sheet / Not Direct Schedule E","Parent for the sole member's ownership interest in GH Real Estate, LLC. Do not post directly when a specific contribution or distribution subaccount applies.","PUBLIC-ACCT-0008"
"Equity","Member Draws / Distributions","3000.02","Member's Equity","Debit","Posting Account","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Cash, property, or personal expenditures distributed to the member. Normal balance is debit. This is not a rental expense and is not deductible on Schedule E.","PUBLIC-ACCT-0022"
