module_display_label,module_type,module_api_name,module_api_name_status,field_label,field_type,api_name,api_name_status,proposed_api_name,disposition,required,help_text,picklist_scope,picklist_values_and_colors,phase,section,notes,source_ids
Inspections,custom,Inspections,verified_live_mcp,Checklist Form URL,URL,Checklist_Form_URL,verified_live_mcp,Checklist_Form_URL,governed_current,false,Creator/Forms checklist link.,,,Production Reconciled,Documents & Signatures,Created and read back in production CRM; live required is false.,"MATRIX_2026-07-08,LIVE_CRM_MCP_2026-07-24"
Inspections,custom,Inspections,verified_live_mcp,Landlord Signed?,Checkbox,Landlord_Signed,verified_live_mcp,Landlord_Signed,governed_current,false,Landlord signature/acknowledgment captured.,,,Production Reconciled,Documents & Signatures,Created and read back in production CRM; live required is false. Manual operational checkbox only; no Zoho Sign evidence integration is verified. Never treat as signature or enforcement proof.,"MATRIX_2026-07-08,LIVE_CRM_MCP_2026-07-24"
Inspections,custom,Inspections,verified_live_mcp,Photos Folder URL,URL,Photos_Folder_URL,verified_live_mcp,Photos_Folder_URL,governed_current,false,Photo evidence folder.,,,Production Reconciled,Documents & Signatures,Created and read back in production CRM; live required is false.,"MATRIX_2026-07-08,LIVE_CRM_MCP_2026-07-24"
Inspections,custom,Inspections,verified_live_mcp,Signed Checklist PDF URL,URL,Signed_Checklist_PDF_URL,verified_live_mcp,Signed_Checklist_PDF_URL,governed_current,false,Final signed PDF/checklist output.,,,Production Reconciled,Documents & Signatures,Created and read back in production CRM; live required is false.,"MATRIX_2026-07-08,LIVE_CRM_MCP_2026-07-24"
Inspections,custom,Inspections,verified_live_mcp,Tenant Signed?,Checkbox,Tenant_Signed,verified_live_mcp,Tenant_Signed,governed_current,false,Tenant signature/acknowledgment captured.,,,Production Reconciled,Documents & Signatures,Created and read back in production CRM; live required is false. Manual operational checkbox only; no Zoho Sign evidence integration is verified. Never treat as signature or enforcement proof.,"MATRIX_2026-07-08,LIVE_CRM_MCP_2026-07-24"
Inspections,custom,Inspections,verified_live_mcp,Inspection Name,Single Line / Module Name,Name,verified_live_mcp,Name,governed_current,true,Readable inspection/checklist name.,,,Production Reconciled,Inspection Identity,"Compatible live module-name field reused; length 120, tooltip null, and system-mandatory true. Historical proposed API `Inspection_Name` is superseded and do_not_create.","MATRIX_2026-07-08,SETUP_SPEC,LIVE_CRM_MCP_2026-07-24"
Inspections,custom,Inspections,verified_live_mcp,Inspection Type,Pick List,Inspection_Type,verified_live_mcp,Inspection_Type,governed_current,false,Checklist/inspection type.,module_local_live_uncolored,Move-In=UNCOLORED | Move-Out=UNCOLORED | Annual=UNCOLORED | Pre-Renewal=UNCOLORED | Post-Repair=UNCOLORED | Owner Walkthrough=UNCOLORED | Other=UNCOLORED,Production Reconciled,Inspection Identity,Created and read back in production CRM; exact live values are uncolored; default null and history tracking false.,"MATRIX_2026-07-08,SETUP_SPEC,LIVE_CRM_MCP_2026-07-24"
Inspections,custom,Inspections,verified_live_mcp,Lease,Lookup,Lease,verified_live_mcp,Lease,governed_current,false,Parent lease.,,,Production Reconciled,Inspection Identity,Created and read back in production CRM; lookup target Leases; live required is false.,"MATRIX_2026-07-08,SETUP_SPEC,LIVE_CRM_MCP_2026-07-24"
Inspections,custom,Inspections,verified_live_mcp,Primary Tenant,Lookup,Primary_Tenant,verified_live_mcp,Primary_Tenant,governed_current,false,Tenant completing checklist.,,,Production Reconciled,Inspection Identity,Created and read back in production CRM; lookup target Contacts; live required is false.,"MATRIX_2026-07-08,LIVE_CRM_MCP_2026-07-24"
Inspections,custom,Inspections,verified_live_mcp,Property,Lookup,Property,verified_live_mcp,Property,governed_current,false,Property.,,,Production Reconciled,Inspection Identity,Created and read back in production CRM; lookup target Accounts; live required is false.,"MATRIX_2026-07-08,SETUP_SPEC,LIVE_CRM_MCP_2026-07-24"
