module_display_label,module_type,module_api_name,module_api_name_status,field_label,field_type,api_name,api_name_status,proposed_api_name,disposition,required,help_text,picklist_scope,picklist_values_and_colors,phase,section,notes,source_ids
Equipment,custom,,historical_target_only_non_deployable,Install Date,Date,,historical_target_only_non_deployable,Install_Date,do_not_create,false,Install/replacement date.,,,Historical Reference Only,Details,Historical target-design evidence only. Live API `Equipment` is protected Property Assets; this row never authorizes a live write.,MATRIX_2026-07-08
Equipment,custom,,historical_target_only_non_deployable,Last Service Date,Date,,historical_target_only_non_deployable,Last_Service_Date,do_not_create,false,Most recent service date.,,,Historical Reference Only,Details,Historical target-design evidence only. Live API `Equipment` is protected Property Assets; this row never authorizes a live write.,MATRIX_2026-07-08
Equipment,custom,,historical_target_only_non_deployable,Make,Single Line,,historical_target_only_non_deployable,Make,do_not_create,false,Manufacturer.,,,Historical Reference Only,Details,Historical target-design evidence only. Live API `Equipment` is protected Property Assets; this row never authorizes a live write.,MATRIX_2026-07-08
Equipment,custom,,historical_target_only_non_deployable,Manual / Warranty URL,URL,,historical_target_only_non_deployable,Manual_Warranty_URL,do_not_create,false,Manual/warranty document link.,,,Historical Reference Only,Details,Historical target-design evidence only. Live API `Equipment` is protected Property Assets; this row never authorizes a live write.,MATRIX_2026-07-08
Equipment,custom,,historical_target_only_non_deployable,Model,Single Line,,historical_target_only_non_deployable,Model,do_not_create,false,Model number.,,,Historical Reference Only,Details,Historical target-design evidence only. Live API `Equipment` is protected Property Assets; this row never authorizes a live write.,MATRIX_2026-07-08
Equipment,custom,,historical_target_only_non_deployable,Notes,Multi-Line,,historical_target_only_non_deployable,Notes,do_not_create,false,Equipment notes.,,,Historical Reference Only,Details,Historical target-design evidence only. Live API `Equipment` is protected Property Assets; this row never authorizes a live write.,MATRIX_2026-07-08
Equipment,custom,,historical_target_only_non_deployable,Serial Number,Single Line,,historical_target_only_non_deployable,Serial_Number,do_not_create,false,Serial number.,,,Historical Reference Only,Details,Historical target-design evidence only. Live API `Equipment` is protected Property Assets; this row never authorizes a live write.,MATRIX_2026-07-08
Equipment,custom,,historical_target_only_non_deployable,Warranty Expiration,Date,,historical_target_only_non_deployable,Warranty_Expiration,do_not_create,false,Warranty expiration date.,,,Historical Reference Only,Details,Historical target-design evidence only. Live API `Equipment` is protected Property Assets; this row never authorizes a live write.,MATRIX_2026-07-08
Equipment,custom,,historical_target_only_non_deployable,Equipment Category,Pick List,,historical_target_only_non_deployable,Equipment_Category,do_not_create,true,Equipment category.,local_recommended,Refrigerator=#2563EB | Stove/Oven=#0F766E | Dishwasher=#4F46E5 | Washer=#7C3AED | Dryer=#0891B2 | HVAC=#DB2777 | Water Heater=#65A30D | Smoke Detector=#EA580C | CO Detector=#92400E | Other=#16A34A,Historical Reference Only,Equipment Identity,Historical target-design evidence only. Live API `Equipment` is protected Property Assets; this row never authorizes a live write.,MATRIX_2026-07-08
Equipment,custom,,historical_target_only_non_deployable,Equipment Name,Single Line / Module Name,,historical_target_only_non_deployable,Equipment_Name,do_not_create,true,Readable equipment record.,,,Historical Reference Only,Equipment Identity,Historical target-design evidence only. Live API `Equipment` is protected Property Assets; this row never authorizes a live write.,MATRIX_2026-07-08
Equipment,custom,,historical_target_only_non_deployable,Property,Lookup,,historical_target_only_non_deployable,Property,do_not_create,true,Property.,,,Historical Reference Only,Equipment Identity,Historical target-design evidence only. Live API `Equipment` is protected Property Assets; this row never authorizes a live write.,MATRIX_2026-07-08
Equipment,custom,,historical_target_only_non_deployable,Status,Pick List,,historical_target_only_non_deployable,Status,do_not_create,true,Current equipment status.,local_recommended,Active=#16A34A | Needs Repair=#EA580C | Replaced=#4F46E5 | Retired=#6B7280 | Missing=#0891B2,Historical Reference Only,Equipment Identity,Historical target-design evidence only. Live API `Equipment` is protected Property Assets; this row never authorizes a live write.,MATRIX_2026-07-08
Equipment,custom,,historical_target_only_non_deployable,Unit,Lookup,,historical_target_only_non_deployable,Unit,do_not_create,false,Unit where equipment is installed.,,,Historical Reference Only,Equipment Identity,Historical target-design evidence only. Live API `Equipment` is protected Property Assets; this row never authorizes a live write.,MATRIX_2026-07-08
