"Account Type","Account Name","Account Code","Parent Account","Normal Balance","Account Role","Live Zoho Status","Recommended Zoho Status","Tax / Reporting Mapping","Description","Existing Account ID"
"Income","Adjustments","4903","","Credit","Zoho System / Verify Workflow","Active","Keep Active – System / Review","System / Tax Mapping Review","Zoho adjustment control. Use only through the verified Zoho transaction workflow; do not use as a manual suspense, reconciliation plug, or substitute for correcting the source transaction. Review and clear unexpected balances.","5858793000000010001"
"Cash","Undeposited Funds","1100","","Debit / Temporary","Zoho System / Clearing","Active","Keep Active – System / Reconcile","Balance Sheet / Not Direct Schedule E","Temporary control for cash or checks received but not yet deposited. Reconcile to deposit records and clear promptly; normal balance is debit while unsettled.","5858793000000000358"
"Cash","Petty Cash","1110","","Debit","Cash / Reconcile","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Physical petty-cash fund used only for documented minor GH Real Estate costs. Reconcile to receipts and cash on hand; leave at zero if no actual fund exists.","5858793000000000361"
"Accounts Receivable","Accounts Receivable","1200","","Debit","Zoho System Control","Active","Keep Active – System / Reconcile","Balance Sheet / Not Direct Schedule E","Zoho control account for issued customer invoices that remain unpaid. Use invoice, payment, and credit-note workflows rather than manual tenant postings.","5858793000000000364"
"Other Current Asset","Advance Tax","1390","","Debit","Zoho System / Conditional","Active","Keep Active – System / Zero","Balance Sheet / Not Direct Schedule E","Zoho default account for genuine entity-level recoverable tax prepayments. Do not record the member's personal federal or state estimated income taxes here; leave at zero unless supported by an entity tax receivable.","5858793000000000370"
"Accounts Payable","Accounts Payable","2000","","Credit","Zoho System Control","Active","Keep Active – System / Reconcile","Balance Sheet / Not Direct Schedule E","Zoho control account for approved vendor bills not yet paid. Use bills, vendor credits, and payments rather than manual entries.","5858793000000000373"
"Other Current Liability","Tax Payable","2500","","Credit","Zoho System Control","Active","Keep Active – System / Reconcile","Balance Sheet / Not Direct Schedule E","Zoho control account for taxes collected or incurred and owed to a taxing authority. Do not use for property-tax expense.","5858793000000000376"
"Equity","Retained Earnings","3010","","Credit","Zoho System / Equity Control","Active","Keep Active – System Equity Control","Balance Sheet / Not Direct Schedule E","Zoho account for accumulated prior-period earnings. Avoid manual posting except for accountant-approved entries.","5858793000000000379"
"Equity","Member's Equity","3000","","Credit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Balance Sheet / Not Direct Schedule E","Parent for the sole member's ownership interest in GH Real Estate, LLC. Do not post directly when a specific contribution or distribution subaccount applies.","5858793000000000382"
"Equity","Member Draws / Distributions","3000.02","Member's Equity","Debit","Posting Account","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Cash, property, or personal expenditures distributed to the member. Normal balance is debit. This is not a rental expense and is not deductible on Schedule E.","5858793000000012001"
"Equity","Member Capital Contributions","3000.01","Member's Equity","Credit","Posting Account","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Cash or property permanently contributed by the member. Excludes documented loans expected to be repaid.","5858793000001571761"
"Equity","Opening Balance Offset","3030","","Normally Zero / Mixed","Zoho System / Migration","Active","Keep Active – System / Zero","Balance Sheet / Not Direct Schedule E","Zoho migration account used only to establish opening balances. Reconcile supporting opening entries and clear unexpected residual balances; avoid routine posting.","5858793000000000385"
"Income","Rental Income","4000","","Credit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Schedule E – Rental Income","Schedule E top-level parent for rent, lease-cancellation amounts, tenant fees, reimbursements, and other tenant-derived rental income. Do not post directly; use a defined child account.","5858793000000000388"
"Income","Pet Rent","4000.03","Rental Income","Credit","Posting Account","Active","Keep Active","Schedule E – Rental Income","Recurring additional rent charged under an approved pet agreement. Excludes refundable pet deposits.","5858793000000110029"
"Income","Base Rent","4000.01","Rental Income","Credit","Posting Account","Active","Keep Active","Schedule E – Rental Income","Contractual rent earned for tenant occupancy, excluding separately stated pet rent, storage rent, fees, and reimbursements.","5858793000000522650"
"Income","Storage Rent","4000.04","Rental Income","Credit","Posting Account","Active","Keep Active","Schedule E – Rental Income","Rent earned for tenant use of separately provided storage space.","5858793000000522671"
"Income","Laundry Income","4000.05","Rental Income","Credit","Posting Account","Active","Keep Active","Schedule E – Rental Income","Revenue from tenant use of landlord-owned or landlord-operated laundry facilities.","5858793000000522723"
"Income","Housing Assistance Rent","4000.02","Rental Income","Credit","Posting Account","Active","Keep Active","Schedule E – Rental Income","Rent paid by a housing authority or assistance program on behalf of a tenant.","5858793000000524813"
"Income","Tenant Fee Income","4000.10","Rental Income","Credit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Schedule E – Rental Income","Rental-income subgroup for lease-authorized late fees, returned-payment charges, application charges, payment-fee reimbursements, termination charges, and other defined tenant fees. Do not post directly.","5858793000003706043"
"Income","Application / Processing Fee Income","4000.10.04","Tenant Fee Income","Credit","Posting Account","Active","Keep Active","Schedule E / Rental Income","Application or screening charges retained by GH Real Estate. Excludes amounts retained directly by a third party.","5858793000000110033"
"Income","Late Fee Income","4000.10.01","Tenant Fee Income","Credit","Posting Account","Active","Keep Active","Schedule E – Rental Income","Lease-authorized late fees assessed on delinquent rent.","5858793000000110041"
"Income","Returned Payment Fee Income","4000.10.02","Tenant Fee Income","Credit","Posting Account","Active","Keep Active","Schedule E – Rental Income","Lease-authorized charge for returned ACH or other failed tenant payments.","5858793000000522695"
"Income","Other Tenant Fee Income","4000.10.08","Tenant Fee Income","Credit","Posting Account","Active","Keep Active","Schedule E – Rental Income","Infrequent lease-authorized tenant fees that do not fit another defined income account.","5858793000000522855"
"Income","Early Termination / Lease Buyout Income","4000.10.05","Tenant Fee Income","Credit","Posting Account","Active","Keep Active","Schedule E – Rental Income","Amounts earned when a tenant pays to terminate or buy out a lease early.","5858793000000522997"
"Income","Re-Leasing Advertising Reimbursement","4000.10.07","Tenant Fee Income","Credit","Posting Account","Active","Keep Active","Schedule E – Rental Income","Lease-authorized reimbursement of documented re-leasing advertising actually incurred after an early termination. Charge only when the lease and applicable law permit, with no markup; do not assess as a routine move-in or move-out fee.","5858793000001139003"
"Income","Online Payment Fee Reimbursements","4000.10.06","Tenant Fee Income","Credit","Posting Account","Active","Keep Active","Schedule E – Rental Income","Tenant reimbursements of payment-processing costs only when permitted by the lease, payment rules, and applicable law. Record the tenant charge as income and the processor fee separately as expense.","5858793000001571096"
"Income","Lease Termination Fee Income","4000.10.03","Tenant Fee Income","Credit","Posting Account","Active","Review – Define Distinct Charge or Inactivate","Schedule E / Rental Income","Use only for a distinct, signed-lease termination fee that does not overlap 4000.10.05 Early Termination / Lease Buyout Income. Otherwise clear, remap, and inactivate this account.","5858793000003706086"
"Income","Repair And Damage Reimbursements","4000.11","Rental Income","Credit","Posting Account","Active","Keep Active","Schedule E – Rental Income","Tenant payments for chargeable repairs, cleaning, or damage. Record the related cost separately. For retained deposits, coordinate with 4000.13 and avoid duplicate income when applying a deposit to an existing receivable.","5858793000003706101"
"Income","Other Tenant Reimbursements","4000.12","Rental Income","Credit","Posting Account","Active","Keep Active","Schedule E – Rental Income","Tenant reimbursements that do not fit utilities, repairs, damage, or another defined account. Review quarterly and record the underlying cost separately when applicable.","5858793000003706106"
"Income","Deposit Forfeitures And Retained Deposit Income","4000.13","Rental Income","Credit","Posting Account","Active","Keep Active","Schedule E – Rental Income","Amounts from refundable deposits recognized only when legally and finally retained. Do not duplicate income when applying a deposit to an already-recorded receivable. Damage-related tax treatment may depend on whether the related repair is deducted; review at year-end.","5858793000003706109"
"Income","Miscellaneous Rental Income","4000.14","Rental Income","Credit","Posting Account","Active","Keep Active","Schedule E – Rental Income","Infrequent tenant-derived rental income that cannot be classified more accurately. Review quarterly.","5858793000003706826"
"Income","Utility Reimbursements","4000.20","Rental Income","Credit","Posting Account","Active","Conditional – Use Only When Signed Lease Requires Reimbursement","Schedule E – Rental Income","Tenant reimbursements for landlord-paid water, sewer, electricity, gas, trash, internet, or similar utilities. Record the landlord-paid utility cost separately in the applicable Utilities expense account.","5858793000003729025"
"Income","Other Fees","4906","","Credit","Zoho System / Verify Workflow","Active","Keep Active – System / Verify Workflow","System / Tax Mapping Review","Zoho fee-income control whose exact system function must be verified by Account ID. Do not use for refundable deposits, deposit refunds, rent, or routine tenant fees already assigned to 4000.10 children.","5858793000000000391"
