module_display_label,module_type,module_api_name,module_api_name_status,field_label,field_type,api_name,api_name_status,proposed_api_name,disposition,required,help_text,picklist_scope,picklist_values_and_colors,phase,section,notes,source_ids
Maintenance Requests,standard_renamed,Cases,verified_standard_zoho,Access Permission,Pick List,Access_Permission,verified_live_mcp,Access_Permission,governed_current,false,Tenant access preference/permission.,module_local_live_uncolored,Permission Granted=UNCOLORED | Appointment Required=UNCOLORED | Tenant Must Be Present=UNCOLORED | Emergency Access Only=UNCOLORED | Unknown=UNCOLORED,Production Reconciled,Access & Scheduling,Created and read back in production CRM; exact live values are uncolored; default null and history tracking false.,"MATRIX_2026-07-08,LIVE_CRM_MCP_2026-07-24"
Maintenance Requests,standard_renamed,Cases,verified_standard_zoho,Assigned Vendor,Lookup,Assigned_Vendor,verified_live_mcp,Assigned_Vendor,governed_current,false,Vendor assigned.,,,Production Reconciled,Access & Scheduling,Created and read back in production CRM; lookup target Vendors; live required is false.,"MATRIX_2026-07-08,LIVE_CRM_MCP_2026-07-24"
Maintenance Requests,standard_renamed,Cases,verified_standard_zoho,Assigned Vendor Contact,Lookup,Assigned_Vendor_Contact,verified_live_mcp,Assigned_Vendor_Contact,governed_current,false,Vendor contact.,,,Production Reconciled,Access & Scheduling,Created and read back in production CRM; lookup target Contacts; live required is false.,"MATRIX_2026-07-08,LIVE_CRM_MCP_2026-07-24"
Maintenance Requests,standard_renamed,Cases,verified_standard_zoho,Pets / Animals Need Secured?,Checkbox,Pets_Animals_Need_Secured,verified_live_mcp,Pets_Animals_Need_Secured,governed_current,false,Prompt before vendor/landlord entry.,,,Production Reconciled,Access & Scheduling,Created and read back in production CRM; live required is false.,"MATRIX_2026-07-08,LIVE_CRM_MCP_2026-07-24"
Maintenance Requests,standard_renamed,Cases,verified_standard_zoho,Reported At,Date/Time,Reported_At,verified_live_mcp,Reported_At,governed_current,false,Timestamp issue was reported.,,,Production Reconciled,Access & Scheduling,Created and read back in production CRM; live required is false.,"MATRIX_2026-07-08,LIVE_CRM_MCP_2026-07-24"
Maintenance Requests,standard_renamed,Cases,verified_standard_zoho,Scheduled Date/Time,Date/Time,Scheduled_Date_Time,verified_live_mcp,Scheduled_Date_Time,governed_current,false,Scheduled repair time.,,,Production Reconciled,Access & Scheduling,Created and read back in production CRM; live required is false.,"MATRIX_2026-07-08,SETUP_SPEC,LIVE_CRM_MCP_2026-07-24"
Maintenance Requests,standard_renamed,Cases,verified_standard_zoho,Creator Ticket ID,Single Line,Creator_Ticket_ID,verified_live_mcp,Creator_Ticket_ID,governed_current,false,Tenant portal ticket ID.,,,Production Reconciled,Files & Evidence,Created and read back as an optional Single Line field; verified uniqueness is not enabled. Prohibited as the sole upsert/idempotency key until uniqueness normalization collision/duplicate handling and post-write readback are implemented.,"MATRIX_2026-07-08,LIVE_CRM_MCP_2026-07-24"
Maintenance Requests,standard_renamed,Cases,verified_standard_zoho,Photos / Files Folder URL,URL,Photos_Files_Folder_URL,verified_live_mcp,Photos_Files_Folder_URL,governed_current,false,WorkDrive folder with photos/docs.,,,Production Reconciled,Files & Evidence,Created and read back in production CRM; live required is false.,"MATRIX_2026-07-08,LIVE_CRM_MCP_2026-07-24"
Maintenance Requests,standard_renamed,Cases,verified_standard_zoho,Photos Received?,Checkbox,Photos_Received,verified_live_mcp,Photos_Received,governed_current,false,Tenant provided photos/videos.,,,Production Reconciled,Files & Evidence,Created and read back in production CRM; live required is false.,"MATRIX_2026-07-08,LIVE_CRM_MCP_2026-07-24"
Maintenance Requests,standard_renamed,Cases,verified_standard_zoho,Lease,Lookup,Lease,verified_live_mcp,Lease,governed_current,false,Current lease.,,,Production Reconciled,Relationships,Created and read back in production CRM; lookup target Leases; live required is false.,"MATRIX_2026-07-08,SETUP_SPEC,LIVE_CRM_MCP_2026-07-24"
