"Account ID","Account Name","Account Code","Description","Account Type","Account Status","Currency","Parent Account"
"5858793000000010001","Adjustments","4903","Used for manual adjustments such as rounding differences, reconciliation corrections, or minor balance settlements.","Income","Active","USD",""
"5858793000000000358","Undeposited Funds","1100","Temporary holding account for cash or checks received but not yet deposited. Clear when the related deposit is recorded.","Cash","Active","USD",""
"5858793000000000361","Petty Cash","1110","It is a small amount of cash that is used to pay your minor or casual expenses rather than writing a check.","Cash","Active","USD",""
"5858793000000000364","Accounts Receivable","1200","Zoho control account for issued customer invoices that remain unpaid. Use invoice, payment, and credit-note workflows rather than manual tenant postings.","Accounts Receivable","Active","USD",""
"5858793000000000370","Advance Tax","1390","Zoho default account for recoverable entity-level tax prepayments. Leave at zero unless GH Real Estate has a genuine recoverable tax asset.","Other Current Asset","Active","USD",""
"5858793000000000373","Accounts Payable","2000","Zoho control account for approved vendor bills not yet paid. Use bills, vendor credits, and payments rather than manual entries.","Accounts Payable","Active","USD",""
"5858793000000000376","Tax Payable","2500","Zoho control account for taxes collected or incurred and owed to a taxing authority. Do not use for property-tax expense.","Other Current Liability","Active","USD",""
"5858793000000000379","Retained Earnings","3010","Zoho account for accumulated prior-period earnings. Avoid manual posting except for accountant-approved entries.","Equity","Active","USD",""
"5858793000000000382","Member's Equity","3000","Parent for the sole member's ownership interest in GH Real Estate, LLC. Do not post directly when a specific contribution or distribution subaccount applies.","Equity","Active","USD",""
"5858793000000012001","Member Draws / Distributions","3000.02","Cash, property, or personal expenditures distributed to the member. Normal balance is debit. This is not a rental expense and is not deductible on Schedule E.","Equity","Active","USD","Member's Equity"
"5858793000001571761","Member Capital Contributions","3000.01","Cash or property permanently contributed by the member. Excludes documented loans expected to be repaid.","Equity","Active","USD","Member's Equity"
"5858793000000000385","Opening Balance Offset","3030","Migration account used only to establish opening balances. It should normally be zero after setup is reconciled.","Equity","Active","USD",""
"5858793000000000388","Rental Income","4000","Schedule E top-level parent for rents received and other tenant-derived rental income. Do not post directly.","Income","Active","USD",""
"5858793000000110029","Pet Rent","4000.03","Recurring additional rent charged under an approved pet agreement. Excludes refundable pet deposits.","Income","Active","USD","Rental Income"
"5858793000000522650","Base Rent","4000.01","Contractual rent earned for tenant occupancy, excluding separately stated pet rent, storage rent, fees, and reimbursements.","Income","Active","USD","Rental Income"
"5858793000000522671","Storage Rent","4000.04","Rent earned for tenant use of separately provided storage space.","Income","Active","USD","Rental Income"
"5858793000000522723","Laundry Income","4000.05","Revenue from tenant use of landlord-owned or landlord-operated laundry facilities.","Income","Active","USD","Rental Income"
"5858793000000524813","Housing Assistance Rent","4000.02","Rent paid by a housing authority or assistance program on behalf of a tenant.","Income","Active","USD","Rental Income"
"5858793000003706043","Tenant Fee Income","4000.10","Lease-authorized late fees assessed on delinquent rent. Do not post here.","Income","Active","USD","Rental Income"
"5858793000000110033","Application / Processing Fee Income","4000.10.04","Application or screening charges retained by GH Real Estate. Excludes amounts retained directly by a third party.","Income","Active","USD","Tenant Fee Income"
"5858793000000110041","Late Fee Income","4000.10.01","Lease-authorized late fees assessed on delinquent rent.","Income","Active","USD","Tenant Fee Income"
"5858793000000522695","Returned Payment Fee Income","4000.10.02","Lease-authorized charge for returned ACH or other failed tenant payments.","Income","Active","USD","Tenant Fee Income"
"5858793000000522855","Other Tenant Fee Income","4000.10.07","Infrequent lease-authorized tenant fees that do not fit another defined income account.","Income","Active","USD","Tenant Fee Income"
"5858793000000522997","Early Termination / Lease Buyout Income","4000.10.03","Amounts earned when a tenant pays to terminate or buy out a lease early.","Income","Active","USD","Tenant Fee Income"
"5858793000001139003","Re-Leasing Advertising Reimbursement","4000.10.06","The cost of the Zillow advertisement to be republished for when the tenant buys out the lease early.","Income","Active","USD","Tenant Fee Income"
"5858793000001571096","Online Payment Fee Reimbursements","4000.10.05","Tenant charges reimbursing permitted payment-processing costs. Record processor fees separately as expenses.","Income","Active","USD","Tenant Fee Income"
"5858793000003706101","Repair And Damage Reimbursements","4000.11","Tenant payments for chargeable repairs, cleaning, or damage. Record the related cost separately.","Income","Active","USD","Rental Income"
"5858793000003706106","Other Tenant Reimbursements","4000.12","Tenant reimbursements that do not fit utilities, repairs, or damage.","Income","Active","USD","Rental Income"
"5858793000003706109","Deposit Forfeitures And Retained Deposit Income","4000.13","Refundable deposits recognized as income only when legally retained. Do not duplicate income when applying a deposit to an existing receivable.","Income","Active","USD","Rental Income"
"5858793000003706826","Miscellaneous Rental Income","4000.14","Infrequent tenant-derived rental income that cannot be classified more accurately. Review quarterly.","Income","Active","USD","Rental Income"
"5858793000003729025","Utility Reimbursements","4000.20","Tenant reimbursements for landlord-paid water, sewer, electricity, gas, trash, internet, or similar utilities. Record the landlord-paid utility cost separately in the applicable Utilities expense account.","Income","Active","USD","Rental Income"
"5858793000000000391","Other Fees","4906","Zoho refund control account. Normal balance is debit when used as contra-revenue. Use only through the intended refund workflow, keep separate from tenant-deposit refunds, and review or clear unexpected balances.","Income","Active","USD",""
"5858793000000005001","Unearned Rent Revenue","2600","Zoho standalone book-basis liability for rent received before the rental period is earned. Normal balance is credit. Federal tax generally includes advance rent when received, so provide the year-end balance to the tax preparer for a book-tax adjustment. Do not use for refundable deposits.","Other Current Liability","Active","USD",""
