"COA Area","Accounts / Codes","Primary Book / GAAP Locators","Tax / Legal Cross-Check","Final Conclusion","Repository Evidence","Review Cadence"
"Cash, banks, and processor clearing","1000–1400","ASC 230 / 305 / 310","IRS 1099-K reconciliation; FED-052","Active; reconcile each bank and clearing account","accounting/ACCOUNTING_POLICY_MATRIX.md – Processor settlement","Monthly"
"Tenant receivables and collectibility","1200, 6990.13; conditional 1290 and 4000.15","ASC 310 / 326 / 842","Cash-method bad-debt limits; FED-010/FED-020","Operating-lease collectibility generally adjusts lease income; use 1290 only for an approved nonlease/other receivable in ASC 326 scope","accounting/FASB_APPLICABILITY_INDEX.md; ACCOUNTING_POLICY_MATRIX.md","Monthly aging / GAAP close"
"Prepaids, escrow, owner receivable","1300.01–1300.04; conditional 1300.05","ASC 305 / 340 / 850","Deduction timing follows underlying payment and method","Active; reconcile schedules and avoid owner/personal netting","ACCOUNTING_POLICY_MATRIX.md – Escrow and owner-paid costs","Monthly / year-end"
"Property, improvements, CIP, depreciation","1500–1590; 6130","ASC 360 / 835 / 970","Tangible property regulations, Pub. 527, MACRS; FED-013–028","Active; book and tax asset registers control","FASB_APPLICABILITY_INDEX.md; ACCOUNTING_POLICY_MATRIX.md","Each project / month-end"
"Refundable deposits and holding funds","2200.03","ASC 305 / 405 / 450 / 842","K.S.A. 58-2543 and 58-2550; KS-LT-004/005; KS-UP","Single Zoho retainer liability plus tenant/unit/deposit subledger","legal/CURRENT_AUTHORITY_INDEX.md; Kansas authority file","Each receipt / move-out"
"Advance rent","2600","ASC 405 / 842","Federal tax generally recognizes advance rent on receipt; Pub. 527","Book liability until earned; year-end book-tax adjustment","ACCOUNTING_POLICY_MATRIX.md; federal sourcebook","Month-end / year-end"
"Mortgage, debt, and financing costs","2200.07, 2800; 6070; conditional 2800.05/6070.02","ASC 210 / 340 / 470 / 835","Principal nondeductible; interest/points rules; FED-012/FED-039","Split payment; stage financing-cost accounts when closing facts support them","ACCOUNTING_POLICY_MATRIX.md; SOURCE_GAPS.md","Monthly / reporting date"
"Member equity and related parties","3000–3030; 1300.04, 2200.01, 2800.02–.03","ASC 505 / 850","Single-member LLC and substantiation; FED-040/FED-041","Keep owner activity out of income/expense unless facts support business treatment","ACCOUNTING_POLICY_MATRIX.md; entity sourcebook","Each transaction / year-end"
"Rent, fees, reimbursements","4000–4000.20","ASC 225 / 842; ASC 606 only for distinct nonlease service","Schedule E; signed lease; FED-010/FED-020/FED-021","Gross presentation; enforceability and lease terms control","ACCOUNTING_POLICY_MATRIX.md; GH_Current_Fee_Policy.md","Each invoice"
"Interest, insurance, and claims","4400.01–4400.03; conditional 1300.05","ASC 225 / 360 / 450 / 610 / 835","Schedule B vs Schedule E; casualty/involuntary-conversion review","Tax review required; do not hard-code tenant charge or claim treatment","ACCOUNTING_POLICY_MATRIX.md","Each event / year-end"
"Operating expenses and vendors","6000–6990","ASC 405 / 720; ASC 360 when capital","Schedule E lines 5–19; 1099 rules; FED-050–053","Use Schedule E parents; preserve W-9, invoice, payment-method evidence","ACCOUNTING_POLICY_MATRIX.md; IRS Schedule E instructions","Each bill / year-end"
"Repairs versus capital projects","6020, 6090, 6100 vs 1500/1550","ASC 360 / 970","Treas. Reg. §§1.162-4 and 1.263(a)-3; FED-013–018/022–028","Scope and unit-of-property analysis controls","ACCOUNTING_POLICY_MATRIX.md; federal sourcebook","Invoice approval / project close"
"Local licensing and property taxes","6110.01, 6990.03, 1300.03","ASC 340 / 405 / 720 as facts require","OP-RL-001/002, OP-FEE-001, KS-PT, JC-RE/JC-DATE","Expense/license prepayment and escrow treatment based on service period/payment","legal/CURRENT_AUTHORITY_INDEX.md; local sourcebook","Annual / biennial"
"Disposal, abandonment, casualty, impairment","4400.02; conditional 4500, 7990.02, 8100","ASC 360 / 450 / 610 / 820","Forms 4797/6252; §§1231/1245/1250/453/1031; FED-057–059B","Activate disposition/impairment accounts only for reviewed event entries","FASB_APPLICABILITY_INDEX.md; ACCOUNTING_POLICY_MATRIX.md","Event-driven"
"Tax adjustment and nondeductible costs","7990 / 7990.01","ASC 740 only if entity-level income tax becomes applicable","IRC fines/penalties and return-level adjustments","Create 7990 now; keep outside Schedule E rollup","FASB_APPLICABILITY_INDEX.md; tax sourcebook","Each item / year-end"
"System, migration, and reserved accounts","Zoho system-coded and ZZ accounts","Presentation depends on underlying transaction","Tax review if any balance remains","Preserve type; use only named workflow; reconcile or leave zero as appropriate","Zoho official Chart of Accounts and workflow documentation","Monthly / cutover"
"GAAP financial statement presentation","All accounts","ASC 105 / 205 / 210 / 225 / 230 / 235 / 250 / 275 / 855","Tax returns are not GAAP financial statements","Chart supports classification; disclosures, estimates, policies, and close entries remain separate","accounting/FASB_APPLICABILITY_INDEX.md; PROJECT_INSTRUCTIONS.md","Each GAAP reporting period"
