"Account ID","Account Name","Account Code","Description","Account Type","Account Status","Currency","Parent Account"
"PUBLIC-ACCT-0021","Adjustments","4903","Used for manual adjustments such as rounding differences, reconciliation corrections, or minor balance settlements.","Income","Active","USD",""
"PUBLIC-ACCT-0001","Undeposited Funds","1100","Temporary holding account for cash or checks received but not yet deposited. Clear when the related deposit is recorded.","Cash","Active","USD",""
"PUBLIC-ACCT-0002","Petty Cash","1110","It is a small amount of cash that is used to pay your minor or casual expenses rather than writing a check.","Cash","Active","USD",""
"PUBLIC-ACCT-0003","Accounts Receivable","1200","Zoho control account for issued customer invoices that remain unpaid. Use invoice, payment, and credit-note workflows rather than manual tenant postings.","Accounts Receivable","Active","USD",""
"PUBLIC-ACCT-0004","Advance Tax","1390","Zoho default account for recoverable entity-level tax prepayments. Leave at zero unless GH Real Estate has a genuine recoverable tax asset.","Other Current Asset","Active","USD",""
"PUBLIC-ACCT-0005","Accounts Payable","2000","Zoho control account for approved vendor bills not yet paid. Use bills, vendor credits, and payments rather than manual entries.","Accounts Payable","Active","USD",""
"PUBLIC-ACCT-0006","Tax Payable","2500","Zoho control account for taxes collected or incurred and owed to a taxing authority. Do not use for property-tax expense.","Other Current Liability","Active","USD",""
"PUBLIC-ACCT-0007","Retained Earnings","3010","Zoho account for accumulated prior-period earnings. Avoid manual posting except for accountant-approved entries.","Equity","Active","USD",""
"PUBLIC-ACCT-0008","Member's Equity","3000","Parent for the sole member's ownership interest in GH Real Estate, LLC. Do not post directly when a specific contribution or distribution subaccount applies.","Equity","Active","USD",""
"PUBLIC-ACCT-0022","Member Draws / Distributions","3000.02","Cash, property, or personal expenditures distributed to the member. Normal balance is debit. This is not a rental expense and is not deductible on Schedule E.","Equity","Active","USD","Member's Equity"
"PUBLIC-ACCT-0135","Member Capital Contributions","3000.01","Cash or property permanently contributed by the member. Excludes documented loans expected to be repaid.","Equity","Active","USD","Member's Equity"
"PUBLIC-ACCT-0009","Opening Balance Offset","3030","Migration account used only to establish opening balances. It should normally be zero after setup is reconciled.","Equity","Active","USD",""
"PUBLIC-ACCT-0010","Rental Income","4000","Schedule E top-level parent for rents received and other tenant-derived rental income. Do not post directly.","Income","Active","USD",""
"PUBLIC-ACCT-0037","Pet Rent","4000.03","Recurring additional rent charged under an approved pet agreement. Excludes refundable pet deposits.","Income","Active","USD","Rental Income"
"PUBLIC-ACCT-0112","Base Rent","4000.01","Contractual rent earned for tenant occupancy, excluding separately stated pet rent, storage rent, fees, and reimbursements.","Income","Active","USD","Rental Income"
"PUBLIC-ACCT-0113","Storage Rent","4000.04","Rent earned for tenant use of separately provided storage space.","Income","Active","USD","Rental Income"
"PUBLIC-ACCT-0117","Laundry Income","4000.05","Revenue from tenant use of landlord-owned or landlord-operated laundry facilities.","Income","Active","USD","Rental Income"
"PUBLIC-ACCT-0122","Housing Assistance Rent","4000.02","Rent paid by a housing authority or assistance program on behalf of a tenant.","Income","Active","USD","Rental Income"
"PUBLIC-ACCT-0156","Tenant Fee Income","4000.10","Lease-authorized late fees assessed on delinquent rent. Do not post here.","Income","Active","USD","Rental Income"
"PUBLIC-ACCT-0038","Application / Processing Fee Income","4000.10.04","Application or screening charges retained by GH Real Estate. Excludes amounts retained directly by a third party.","Income","Active","USD","Tenant Fee Income"
"PUBLIC-ACCT-0039","Late Fee Income","4000.10.01","Lease-authorized late fees assessed on delinquent rent.","Income","Active","USD","Tenant Fee Income"
"PUBLIC-ACCT-0116","Returned Payment Fee Income","4000.10.02","Lease-authorized charge for returned ACH or other failed tenant payments.","Income","Active","USD","Tenant Fee Income"
"PUBLIC-ACCT-0118","Other Tenant Fee Income","4000.10.08","Infrequent lease-authorized tenant fees that do not fit another defined income account.","Income","Active","USD","Tenant Fee Income"
"PUBLIC-ACCT-0120","Early Termination / Lease Buyout Income","4000.10.05","Amounts earned when a tenant pays to terminate or buy out a lease early.","Income","Active","USD","Tenant Fee Income"
"PUBLIC-ACCT-0131","Re-Leasing Advertising Reimbursement","4000.10.07","The cost of the Zillow advertisement to be republished for when the tenant buys out the lease early.","Income","Active","USD","Tenant Fee Income"
"PUBLIC-ACCT-0134","Online Payment Fee Reimbursements","4000.10.06","Tenant charges reimbursing permitted payment-processing costs. Record processor fees separately as expenses.","Income","Active","USD","Tenant Fee Income"
"PUBLIC-ACCT-0157","Lease Termination Fee Income","4000.10.03","","Income","Active","USD","Tenant Fee Income"
"PUBLIC-ACCT-0158","Repair And Damage Reimbursements","4000.11","Tenant payments for chargeable repairs, cleaning, or damage. Record the related cost separately.","Income","Active","USD","Rental Income"
"PUBLIC-ACCT-0159","Other Tenant Reimbursements","4000.12","Tenant reimbursements that do not fit utilities, repairs, or damage.","Income","Active","USD","Rental Income"
"PUBLIC-ACCT-0160","Deposit Forfeitures And Retained Deposit Income","4000.13","Refundable deposits recognized as income only when legally retained. Do not duplicate income when applying a deposit to an existing receivable.","Income","Active","USD","Rental Income"
"PUBLIC-ACCT-0177","Miscellaneous Rental Income","4000.14","Infrequent tenant-derived rental income that cannot be classified more accurately. Review quarterly.","Income","Active","USD","Rental Income"
"PUBLIC-ACCT-0182","Utility Reimbursements","4000.20","Tenant reimbursements for landlord-paid water, sewer, electricity, gas, trash, internet, or similar utilities. Record the landlord-paid utility cost separately in the applicable Utilities expense account.","Income","Active","USD","Rental Income"
"PUBLIC-ACCT-0011","Other Fees","4906","Zoho refund control account. Normal balance is debit when used as contra-revenue. Use only through the intended refund workflow, keep separate from tenant-deposit refunds, and review or clear unexpected balances.","Income","Active","USD",""
"PUBLIC-ACCT-0020","Unearned Rent Revenue","2600","Zoho standalone book-basis liability for rent received before the rental period is earned. Normal balance is credit. Federal tax generally includes advance rent when received, so provide the year-end balance to the tax preparer for a book-tax adjustment. Do not use for refundable deposits.","Other Current Liability","Active","USD",""
"PUBLIC-ACCT-0012","Other Charges","4904","Zoho system account for invoice adjustments and miscellaneous positive charges. Leave standalone and do not use for rent or routine tenant-fee items.","Income","Active","USD",""
"PUBLIC-ACCT-0114","Pet Deposits","4300.02","Pet deposits retained due to pet-related property damage or lease violations.","Income","Inactive","USD","Other Charges"
"PUBLIC-ACCT-0115","Security Deposit","4300.03","Security deposits retained due to unpaid rent, damages, or early termination.","Income","Inactive","USD","Other Charges"
"PUBLIC-ACCT-0013","Other Refunds","4905","Zoho refund control account. Normal balance is debit when used as contra-revenue. Use only through the intended refund workflow, keep separate from tenant-deposit refunds, and review or clear unexpected balances.","Income","Active","USD",""
"PUBLIC-ACCT-0014","Discounts","4901","Zoho system contra-revenue account for invoice discounts. Normal balance is debit even though Zoho classifies it as Income. Use only through the invoice discount field and review balances at year-end.","Income","Active","USD",""
"PUBLIC-ACCT-0015","Exchange Gain Or Loss","8000","Zoho default system account for exchange-rate gains and losses on foreign-currency transactions. Credit balances represent gains and debit balances represent losses. Keep standalone and let Zoho post automatically. Do not use for bank fees, processor fees, or manual balancing.","Expense","Active","USD",""
"PUBLIC-ACCT-0016","ZZ – Reserved Zoho Other Expense (Do Not Use)","8099","Zoho system or reserved account. Keep standalone, unmapped from routine items, and ordinarily at zero. Investigate any posting by Account ID before reclassifying it.","Other Expense","Active","USD",""
"PUBLIC-ACCT-0023","Shipping Charges","4902","Records freight or shipping charges collected from customers as part of sales transactions.","Income","Active","USD",""
