"Account Type","Account Name","Code","Parent","Normal Balance","Activation Trigger","Book / GAAP Locator","Tax / Legal Mapping","Activation Action","Master Relationship","Authority Source"
"Fixed Asset","Accumulated Depreciation - Land Improvements","1590.04","Accumulated Depreciation","Credit","1500.04 has depreciable land-improvement basis or a balance requiring separate presentation.","ASC 360 / 970","Book and tax depreciation schedules; Schedule E line 18 for tax depreciation as applicable.","Already live. Use only when 1500.04 has separately depreciable land-improvement basis; otherwise keep unused and reconcile to zero.","Live – Trigger-Gated","accounting/ACCOUNTING_POLICY_MATRIX.md; accounting/FASB_APPLICABILITY_INDEX.md"
"Income","Utility Reimbursements","4000.20","Rental Income","Credit","A signed lease and tenant billing actually require reimbursement of landlord-paid utilities.","ASC 225 / 842; ASC 606 only if a distinct nonlease service exists","Schedule E rental income; record utility expense gross.","Already live. Map items/automation only when a signed lease requires reimbursement and record landlord utility costs gross.","Live – Trigger-Gated","accounting/ACCOUNTING_POLICY_MATRIX.md"
"Other Income","Tenant Late-Payment Interest – Tax Review","4400.03","Other Income","Credit","The signed lease authorizes the charge, the calculation is enforceable, and the tax preparer approves its characterization.","ASC 225 / 842 / 450 / 835 as facts require","Tax review – Schedule E rental income vs Form 1040/Schedule B interest.","Already live, but leave unmapped until the signed lease, supported calculation, and tax characterization are approved.","Live – Gated / Unmapped","accounting/ACCOUNTING_POLICY_MATRIX.md; GH_Current_Fee_Policy.md"
"Expense","Land Improvement Depreciation","6130.04","Depreciation Expense","Debit","1590.04 is activated for depreciable land improvements.","ASC 360 / 970","Schedule E line 18 as applicable; maintain separate book and tax lives.","Not created. Create only when separately depreciable land-improvement basis exists; pair with 1590.04.","Not Live – Conditional","accounting/ACCOUNTING_POLICY_MATRIX.md; accounting/FASB_APPLICABILITY_INDEX.md"
"Expense","Business Gifts – Tax Limited","6990.15","Other Expenses","Debit","GH incurs a true business gift rather than tenant welcome supplies or ordinary advertising.","ASC 720","Schedule E line 19 subject to IRC §274 and the applicable recipient limit/exceptions.","Already live. Use only for true business gifts with recipient-level substantiation; exclude ordinary tenant welcome supplies.","Live – Trigger-Gated","IRS Publication 463; accounting/ACCOUNTING_POLICY_MATRIX.md"
"Other Current Liability","Current Portion Of Mortgage Payable – 9401 Nieman Road","2200.04","Other Current Liabilities","Credit","GH prepares a classified GAAP balance sheet or a lender requires current-maturity presentation.","ASC 210 / 470","Balance-sheet classification only; principal is not an expense.","Already live. Use only for classified GAAP/lender presentation and reclassify from 2800.01 without duplicating principal.","Live – Trigger-Gated","accounting/ACCOUNTING_POLICY_MATRIX.md; accounting/FASB_APPLICABILITY_INDEX.md"
"Other Current Asset","Allowance for Credit Losses – Nonlease Receivables","1290","","Credit","A documented scope analysis identifies a material recognized nonlease/other receivable subject to ASC 326. Do not use automatically for ordinary residential operating-lease receivables.","ASC 310 / 326; ASC 842 scope interaction","Book allowance; tax deduction follows applicable bad-debt rules and income method.","Create only after a CPA-approved scope and measurement memo; do not pair routinely with operating-lease A/R.","Additional Conditional","accounting/FASB_APPLICABILITY_INDEX.md; accounting/ACCOUNTING_POLICY_MATRIX.md"
"Other Current Asset","Insurance Claim Receivable","1300.05","Other Current Assets","Debit","A recognized insurer obligation is supportable and measurable before cash receipt.","ASC 360 / 450 / 610","Tax review – casualty, involuntary conversion, recovery, and basis consequences.","Create only for a documented claim-recognition conclusion; reconcile to claim evidence.","Additional Conditional","accounting/ACCOUNTING_POLICY_MATRIX.md"
"Other Asset","Deferred Leasing Costs","1600","","Debit","Incremental lease-acquisition costs would not have been incurred without an executed lease and qualify for deferral.","ASC 340 / 842","Tax amortization and timing may differ; preparer review required.","Create with 6030.03 only after a documented capitalization conclusion.","Additional Conditional","accounting/FASB_APPLICABILITY_INDEX.md; accounting/ACCOUNTING_POLICY_MATRIX.md"
"Fixed Asset","Construction in Progress – 9401 Nieman Road","1500.07","Fixed Assets","Debit","A material open capital project exists and a controlled Zoho migration from 1550 improves PP&E presentation without losing history.","ASC 360 / 970","No depreciation until placed in service; tax project basis tracked separately.","Create and migrate only after balance, transactions, reports, and Zoho edit restrictions are reviewed; otherwise retain 1550.","Additional Conditional","accounting/FASB_APPLICABILITY_INDEX.md; accounting/ACCOUNTING_POLICY_MATRIX.md"
