inventory_order,display_label,singular_label,api_name,api_supported,status,show_as_tab,viewable,generated_type,parent_module_api_name
1,Leads,Lead,Leads,true,visible,true,true,default,
2,Invoices,Invoice,CustomModule5001,true,visible,true,true,default,Zoho_Books
3,Rental Applications,Rental Application,Deals,true,visible,true,true,default,
4,Workqueue,Workqueue,Workqueue__s,false,visible,true,true,default,
5,Contacts,Contact,Contacts,true,visible,true,true,default,
6,Properties,Property,Accounts,true,visible,true,true,default,
7,Units,Unit,Units,true,visible,true,true,custom,
8,Activities,Activity,Activities,false,system_hidden,false,false,default,
9,Leases,Lease,Leases,true,visible,true,true,custom,
10,Maintenance Requests,Maintenance Request,Cases,true,visible,true,true,default,
11,Tasks,Task,Tasks,true,visible,true,true,default,
12,Meetings,Meeting,Events,true,visible,true,true,default,
13,Calls,Call,Calls,true,visible,true,true,default,
14,Vendors,Vendor,Vendors,true,visible,true,true,default,
15,Reports,Report,Reports,false,visible,true,true,default,
16,Home,Home,Home,false,visible,true,true,default,
17,Analytics,Analytics,Analytics,false,visible,true,true,default,
18,Property Assets,Property Asset,Equipment,true,visible,true,true,custom,
19,Inspections,Inspection,Inspections,true,visible,true,true,custom,
20,Pets,Pet,Pets,true,visible,true,true,custom,
21,Vehicles,Vehicle,Tenant_Vehicles,true,visible,true,true,custom,
22,Amenities,Amenity,Amenities,true,visible,true,true,custom,
23,Feeds,Feeds,Feeds,false,visible,true,true,default,
24,Storage Units,Storage Unit,Storage_Units,true,visible,true,true,custom,
25,Campaigns,Campaign,Campaigns,true,user_hidden,true,true,default,
26,Purchase Orders,Purchase Order,Purchase_Orders,true,user_hidden,true,true,default,
27,Stage History,Stage History,DealHistory,true,system_hidden,false,true,field_tracker,Deals
28,Zoho Books Items,Zoho Books Item,Products,true,visible,true,true,default,
29,EmailSentiment,EmailSentiment,Email_Sentiment,true,visible,false,false,default,
30,Email Analytics,Email Analytics,Email_Analytics,true,visible,false,false,default,
31,Email Template Analytics,Email Template Analytics,Email_Template_Analytics,true,visible,false,false,default,
32,Contracts,Contracts,zohocontracts__Contracts,true,visible,true,true,custom,
33,Service History,Service History,Service_History,true,visible,false,true,subform,Equipment
34,Utilities,Utility,Utilities,true,visible,true,true,custom,
35,Warranty Information,Warranty Information,Warranty,true,visible,false,true,subform,Equipment
36,Current Tenants,Current Tenants,Tenants,true,visible,false,true,subform,Accounts
37,Tenant Pets,Tenant Pets,Tenant_Pets,true,visible,false,true,subform,Accounts
38,SalesInbox,SalesInbox,SalesInbox,false,user_hidden,true,true,default,
39,Invoiced Items,Invoiced Items,Invoiced_Items,true,visible,false,true,subform,Invoices
40,Price Books,Price Book,Price_Books,true,user_hidden,true,true,default,
41,Notes,Note,Notes,true,system_hidden,false,true,default,
42,Invoices,Invoice,Invoices,true,visible,true,true,default,
43,Documents,Documents,Documents,false,user_hidden,true,true,default,
44,Visits,Visit,Visits,true,user_hidden,true,true,default,
45,Forecasts,Forecast,Forecasts,false,user_hidden,true,true,default,
46,Quotes,Quote,Quotes,true,user_hidden,true,true,default,
47,Attachments,Attachment,Attachments,true,system_hidden,false,true,default,
48,Sales Orders,Sales Order,Sales_Orders,true,user_hidden,true,true,default,
49,Solutions,Solution,Solutions,true,user_hidden,true,true,default,
50,Emails,Email,Emails,false,visible,true,false,default,
51,Actions Performed,Actions Performed,Actions_Performed,true,system_hidden,false,true,default,
52,My Jobs,My Jobs,Approvals,true,visible,true,true,default,
53,Social,Social,Social,false,user_hidden,true,true,default,
54,Google Ads,Google AdWord,Google_AdWords,false,user_hidden,false,true,default,
55,Projects,Projects,Projects,false,user_hidden,true,true,default,
56,Zoho Books,Zoho Finance,Zoho_Books,false,visible,true,true,default,
57,Condition Reports,Condition Report,Condition_Reports,true,visible,true,true,custom,
58,Forecast Targets,Forecast Target,Forecast_Quotas,false,system_hidden,false,false,default,
59,Forecast Items,Forecast Item,Forecast_Items,false,system_hidden,false,false,default,
60,Forecast Groups,Forecast Group,Forecast_Groups,false,system_hidden,false,false,default,
61,Locking Information,Locking Information,Locking_Information__s,true,visible,false,false,default,
62,Functions,Function,Functions__s,true,visible,false,true,default,
63,QR Code,QR Code,File_Upload_1__s,true,visible,true,false,default,
64,Quote,Quote,File_Upload_2__s,true,visible,true,false,default,
65,Email Templates,Email Template,Email_Template__s,false,visible,false,false,default,
66,Email Drafts,Email Draft,Email_Drafts__s,false,visible,false,false,default,
67,Calendar Bookings,Calendar Booking,CalendarBookings__s,false,visible,false,false,default,
68,Unknown,Unknown,Unknown__s,false,visible,false,false,default,
69,Receipt,Receipt,File_Upload_7__s,true,visible,true,false,default,
70,Rating Plate Photo,Rating Plate Photo,Image_Upload_5__s,true,visible,true,false,default,
71,Zillow Intake Status History,Zillow Intake Status History,Zillow_Intake_Status_History,true,user_hidden,false,true,field_tracker,Leads
72,Lease Status history,Lease Status history,Lease_Status_history,true,user_hidden,false,true,field_tracker,Leases
