module_display_label,module_type,module_api_name,module_api_name_status,field_label,field_type,api_name,api_name_status,proposed_api_name,disposition,required,help_text,picklist_scope,picklist_values_and_colors,phase,section,notes,source_ids
Properties,standard_renamed,Accounts,verified_standard_zoho,City,Single Line,City,verified_live_mcp,City,governed_current,false,Property city used as the Lease premises snapshot source.,,,Production Reconciled,Address & Notice,Live field verified for the manual Contracts premises mapping.,"MATRIX_2026-07-08,SETUP_SPEC,LIVE_CRM_MCP_2026-07-24"
Properties,standard_renamed,Accounts,verified_standard_zoho,County,Single Line,County,verified_live_mcp,County,governed_current,false,Used for venue/legal admin and reports.,,,Production Reconciled,Address & Notice,Created and read back in production CRM; live required is false.,"MATRIX_2026-07-08,SETUP_SPEC,LIVE_CRM_MCP_2026-07-24"
Properties,standard_renamed,Accounts,verified_standard_zoho,Emergency Maintenance Phone,Phone,Emergency_Maintenance_Phone,verified_live_mcp,Emergency_Maintenance_Phone,governed_current,false,Emergency maintenance number shown to tenants.,,,Production Reconciled,Management & Maintenance,Created and read back in production CRM; live required is false.,"MATRIX_2026-07-08,LIVE_CRM_MCP_2026-07-24"
Properties,standard_renamed,Accounts,verified_standard_zoho,Notice Address,Address,,proposed_unverified,Notice_Address,candidate,true,Mailing/statutory notice address; must be complete before signing.,,,Required Now,Address & Notice,,MATRIX_2026-07-08
Properties,standard_renamed,Accounts,verified_standard_zoho,Notice Email,Email,Notice_Email,verified_live_mcp,Notice_Email,governed_current,false,Operational contact email; legal notice use depends on lease/law.,,,Production Reconciled,Address & Notice,Created and read back in production CRM; live required is false.,"MATRIX_2026-07-08,LIVE_CRM_MCP_2026-07-24"
Properties,standard_renamed,Accounts,verified_standard_zoho,Notice Phone,Phone,,blocked_ambiguous,Notice_Phone,blocked_ambiguous,false,Operational contact phone.,,,Blocked,Address & Notice,"Do not create. Standard `Phone` is the verified reusable field, but its legal/operational notice meaning must be approved before use.","MATRIX_2026-07-08,LIVE_CRM_MCP_2026-07-24"
Properties,standard_renamed,Accounts,verified_standard_zoho,Property Address,Address,,proposed_unverified,Property_Address,candidate,true,Physical address of the property.,,,Required Now,Address & Notice,,MATRIX_2026-07-08
Properties,standard_renamed,Accounts,verified_standard_zoho,State,Pick List,State,verified_live_mcp,State,governed_current,false,Property state used as the Lease premises snapshot source.,global_live_uncolored,Alabama=UNCOLORED | Alaska=UNCOLORED | Arizona=UNCOLORED | Arkansas=UNCOLORED | California=UNCOLORED | Colorado=UNCOLORED | Connecticut=UNCOLORED | Delaware=UNCOLORED | Florida=UNCOLORED | Georgia=UNCOLORED | Hawaii=UNCOLORED | Idaho=UNCOLORED | Illinois=UNCOLORED | Indiana=UNCOLORED | Iowa=UNCOLORED | Kansas=UNCOLORED | Kentucky=UNCOLORED | Louisiana=UNCOLORED | Maine=UNCOLORED | Maryland=UNCOLORED | Massachusetts=UNCOLORED | Michigan=UNCOLORED | Minnesota=UNCOLORED | Mississippi=UNCOLORED | Missouri=UNCOLORED | Montana=UNCOLORED | Nebraska=UNCOLORED | Nevada=UNCOLORED | New Hampshire=UNCOLORED | New Jersey=UNCOLORED | New Mexico=UNCOLORED | New York=UNCOLORED | North Carolina=UNCOLORED | North Dakota=UNCOLORED | Ohio=UNCOLORED | Oklahoma=UNCOLORED | Oregon=UNCOLORED | Pennsylvania=UNCOLORED | Rhode Island=UNCOLORED | South Carolina=UNCOLORED | South Dakota=UNCOLORED | Tennessee=UNCOLORED | Texas=UNCOLORED | Utah=UNCOLORED | Vermont=UNCOLORED | Virginia=UNCOLORED | Washington=UNCOLORED | West Virginia=UNCOLORED | Wisconsin=UNCOLORED | Wyoming=UNCOLORED,Production Reconciled,Address & Notice,"Global picklist `States`; live field verified: required false, history false, default null, tooltip null. System `-None-` is omitted from governed values; all live colors are null.","MATRIX_2026-07-08,SETUP_SPEC,LIVE_CRM_MCP_2026-07-24"
Properties,standard_renamed,Accounts,verified_standard_zoho,Street Line 1,Single Line,Street_Line_1,verified_live_mcp,Street_Line_1,governed_current,false,Primary property street line used as the Lease premises snapshot source.,,,Production Reconciled,Address & Notice,Live field verified for the manual Contracts premises mapping.,"MATRIX_2026-07-08,LIVE_CRM_MCP_2026-07-24"
Properties,standard_renamed,Accounts,verified_standard_zoho,Street Line 2,Single Line,Street_Line_2,verified_live_mcp,Street_Line_2,governed_current,false,Secondary property street line used when the premises address requires it.,,,Production Reconciled,Address & Notice,Live field verified; no duplicate address field was created.,"LIVE_CRM_MCP_2026-07-24"
Properties,standard_renamed,Accounts,verified_standard_zoho,Zip Code,Single Line,Zip_Code1,verified_live_mcp,Zip_Code1,governed_current,false,Property postal code used as the Lease premises snapshot source; retain leading zeros.,,,Production Reconciled,Address & Notice,Live field verified for the manual Contracts premises mapping.,"MATRIX_2026-07-08,SETUP_SPEC,LIVE_CRM_MCP_2026-07-24"
Properties,standard_renamed,Accounts,verified_standard_zoho,Default Early Termination Fee Months,Decimal,,proposed_unverified,Default_Early_Termination_Fee_Months,candidate,true,Default buy-out fee expressed as months of base rent.,,,Contract Autofill,Default Lease Terms,,MATRIX_2026-07-08
Properties,standard_renamed,Accounts,verified_standard_zoho,Default Interest Annual Rate,Percent,,proposed_unverified,Default_Interest_Annual_Rate,candidate,true,Default simple interest rate on delinquent base rent.,,,Contract Autofill,Default Lease Terms,,MATRIX_2026-07-08
Properties,standard_renamed,Accounts,verified_standard_zoho,Default Late Fee Day 10 Percent,Percent,,proposed_unverified,Default_Late_Fee_Day_10_Percent,candidate,true,Default second late-fee percentage.,,,Contract Autofill,Default Lease Terms,,MATRIX_2026-07-08
Properties,standard_renamed,Accounts,verified_standard_zoho,Default Late Fee Day 5 Percent,Percent,,proposed_unverified,Default_Late_Fee_Day_5_Percent,candidate,true,Default first late-fee percentage.,,,Contract Autofill,Default Lease Terms,,MATRIX_2026-07-08
Properties,standard_renamed,Accounts,verified_standard_zoho,Default Late Fee Monthly Cap Percent,Percent,,proposed_unverified,Default_Late_Fee_Monthly_Cap_Percent,candidate,true,Default total late fee cap.,,,Contract Autofill,Default Lease Terms,,MATRIX_2026-07-08
Properties,standard_renamed,Accounts,verified_standard_zoho,Default Move-Out Notice Days,Number,,proposed_unverified,Default_Move_Out_Notice_Days,candidate,true,Default fixed-term move-out notice requirement.,,,Contract Autofill,Default Lease Terms,,MATRIX_2026-07-08
Properties,standard_renamed,Accounts,verified_standard_zoho,Default Parking Spaces,Number,,proposed_unverified,Default_Parking_Spaces,candidate,true,Default parking spaces to copy to unit/lease.,,,Contract Autofill,Default Lease Terms,,MATRIX_2026-07-08
Properties,standard_renamed,Accounts,verified_standard_zoho,Default Payment Deadline Time,Single Line,,proposed_unverified,Default_Payment_Deadline_Time,candidate,true,Payment deadline text used in lease snapshot.,,,Contract Autofill,Default Lease Terms,,MATRIX_2026-07-08
Properties,standard_renamed,Accounts,verified_standard_zoho,Default Rent Due Day,Number,,proposed_unverified,Default_Rent_Due_Day,candidate,true,Default rent due day copied to lease snapshots.,,,Contract Autofill,Default Lease Terms,,MATRIX_2026-07-08
Properties,standard_renamed,Accounts,verified_standard_zoho,Default Returned Payment Fee,Currency,,proposed_unverified,Default_Returned_Payment_Fee,candidate,true,Default returned/reversed/failed payment fee.,,,Contract Autofill,Default Lease Terms,,MATRIX_2026-07-08
Properties,standard_renamed,Accounts,verified_standard_zoho,Default Storage Rent,Currency,,proposed_unverified,Default_Storage_Rent,candidate,false,Default monthly rent for approved storage unit.,,,Contract Autofill,Default Lease Terms,,MATRIX_2026-07-08
Properties,standard_renamed,Accounts,verified_standard_zoho,Renter's Insurance Policy Default,Pick List,,proposed_unverified,Renter_s_Insurance_Policy_Default,candidate,true,Default insurance position copied into lease packet.,local_recommended,Optional - Strongly Recommended=#2563EB | Required by Separate Addendum=#0F766E | Not Offered=#4F46E5,Contract Autofill,Default Lease Terms,,MATRIX_2026-07-08
Properties,standard_renamed,Accounts,verified_standard_zoho,EPA Lead Pamphlet URL,URL,,proposed_unverified,EPA_Lead_Pamphlet_URL,candidate,false,Link to EPA Protect Your Family From Lead In Your Home pamphlet.,,,Contract Autofill,HOA / Disclosures,,MATRIX_2026-07-08
Properties,standard_renamed,Accounts,verified_standard_zoho,HOA Name,Single Line,,proposed_unverified,HOA_Name,candidate,false,HOA name used in packet and tenant portal.,,,Contract Autofill,HOA / Disclosures,,"MATRIX_2026-07-08,SETUP_SPEC"
Properties,standard_renamed,Accounts,verified_standard_zoho,HOA Rules URL,URL,,proposed_unverified,HOA_Rules_URL,candidate,false,Link to current HOA tenant packet/rules.,,,Contract Autofill,HOA / Disclosures,,MATRIX_2026-07-08
Properties,standard_renamed,Accounts,verified_standard_zoho,HUD Fair Housing Poster URL,URL,,proposed_unverified,HUD_Fair_Housing_Poster_URL,candidate,false,Link or file location for poster included/viewed.,,,Contract Autofill,HOA / Disclosures,,MATRIX_2026-07-08
