module_display_label,module_type,module_api_name,module_api_name_status,field_label,field_type,api_name,api_name_status,proposed_api_name,disposition,required,help_text,picklist_scope,picklist_values_and_colors,phase,section,notes,source_ids
Rental Applications,standard_renamed,Deals,verified_standard_zoho,Application Name,Single Line / Standard Deal Name,,superseded_by_verified_live_mcp_field,Application_Name,do_not_create,false,Do not create. Rental Application Name is the verified standard Deal_Name field.,,,Blocked,Application Identity,Conflicting custom-name proposal retained as audit evidence.,"MATRIX_2026-07-08,LIVE_CRM_MCP_2026-07-24"
Rental Applications,standard_renamed,Deals,verified_standard_zoho,Application No.,Auto-Number,,proposed_unverified,Application_No,candidate,true,Stable application number.,,,Required Now,Application Identity,,MATRIX_2026-07-08
Rental Applications,standard_renamed,Deals,verified_standard_zoho,Application Reviewer,User,Application_Reviewer,verified_live_mcp,Application_Reviewer,governed_current,false,Person responsible for review.,,,Production Reconciled,Screening Summary,Created and read back in production CRM; live required is false. Final live layout section verified on 2026-07-29.,"MATRIX_2026-07-08,LIVE_CRM_MCP_2026-07-24,LIVE_CRM_MCP_2026-07-29"
Rental Applications,standard_renamed,Deals,verified_standard_zoho,Application Stage,Pick List / Standard Stage,,superseded_by_verified_live_mcp_field,Application_Stage,do_not_create,false,Do not create. The standard Stage field owns the application pipeline.,standard_module_picklist,New Applicant=#2563EB | Pre-Screening Pending=#D97706 | Showing Scheduled=#7C3AED | Showing Completed=#7C3AED | Application Invited=#D97706 | Application Submitted=#2563EB | Screening Pending=#D97706 | Employment Verification Pending=#D97706 | Prior Landlord Verification Pending=#D97706 | Manual Review=#EA580C | Approved - Lease Pending=#16A34A | Lease Requested=#7C3AED | Lease Sent for Signature=#7C3AED | Lease Signed=#16A34A | Move-In Funds Pending=#D97706 | Ready for Possession=#16A34A | Active Tenant=#16A34A | Closed - Denied=#DC2626 | Closed - Withdrawn=#6B7280 | Closed - Duplicate=#6B7280 | Closed - No Response=#6B7280,Blocked,Application Identity,Historical proposal only; the live Stage value update remains blocked because pipeline and probability semantics were not safely expressible.,"MATRIX_2026-07-08,LIVE_CRM_MCP_2026-07-24"
Rental Applications,standard_renamed,Deals,verified_standard_zoho,Co-Applicant 1,Lookup,Co_Applicant_1,verified_live_mcp,Co_Applicant_1,governed_current,false,First additional applicant. Source: application intake. Edit: before decision. Required: when applicable. Contracts: copied to Lease Tenant 2.,,,Production Core,Lease Promotion Snapshot — Primary Only,Lookup target Contacts; API type and tooltip verified by live metadata readback. Final live layout section verified on 2026-07-29.,"MATRIX_2026-07-08,LIVE_CRM_MCP_2026-07-24,LIVE_CRM_MCP_2026-07-29"
Rental Applications,standard_renamed,Deals,verified_standard_zoho,Co-Applicant 2,Lookup,Co_Applicant_2,verified_live_mcp,Co_Applicant_2,governed_current,false,Second additional applicant. Source: application intake. Edit: before decision. Required: when applicable. Contracts: copied to Lease Tenant 3.,,,Production Core,Lease Promotion Snapshot — Primary Only,Lookup target Contacts; API type and tooltip verified by live metadata readback. Final live layout section verified on 2026-07-29.,"MATRIX_2026-07-08,LIVE_CRM_MCP_2026-07-24,LIVE_CRM_MCP_2026-07-29"
Rental Applications,standard_renamed,Deals,verified_standard_zoho,Primary Applicant,Lookup,,superseded_by_verified_live_mcp_field,Primary_Applicant,do_not_create,false,Do not create. The standard Applicant lookup (Contact_Name) owns the adult-applicant relationship.,,,Blocked,Application Identity,Conflicting custom-field proposal retained as audit history; no duplicate field was created.,"MATRIX_2026-07-08,LIVE_CRM_MCP_2026-07-24,LIVE_CRM_MCP_2026-07-29"
Rental Applications,standard_renamed,Deals,verified_standard_zoho,Property (custom proposal),Lookup,,superseded_by_verified_live_mcp_field,Property,do_not_create,false,Do not create. The standard Property lookup (Account_Name) owns the property relationship.,,,Blocked,Application Identity,"Conflicting custom-field proposal retained as audit history and disambiguated from the live standard field; no duplicate field was created.","MATRIX_2026-07-08,LIVE_CRM_MCP_2026-07-24,LIVE_CRM_MCP_2026-07-29"
Rental Applications,standard_renamed,Deals,verified_standard_zoho,Source Lead,Lookup,Source_Lead,verified_live_mcp,Source_Lead,governed_current,false,Original inquiry that produced this application. Source: CRM Lead. Edit: system or authorized correction. Required: when available. Contracts: not mapped.,,,Production Core,Application Identity & Group,Lookup target Leads; API type and tooltip verified by live metadata readback. Final live layout section verified on 2026-07-29.,"MATRIX_2026-07-08,LIVE_CRM_MCP_2026-07-24,LIVE_CRM_MCP_2026-07-29"
Rental Applications,standard_renamed,Deals,verified_standard_zoho,Unit,Lookup,Unit,verified_live_mcp,Unit,governed_current,false,Unit requested in this application. Source: application intake. Edit: before decision. Required: before approval. Contracts: copied to Lease Unit.,,,Production Core,Property & Requested Terms,Lookup target Units; live required is false and conditional mandatory enforcement is not configured by the current MCP. Final live layout section verified on 2026-07-29.,"MATRIX_2026-07-08,SETUP_SPEC,LIVE_CRM_MCP_2026-07-24,LIVE_CRM_MCP_2026-07-29"
Rental Applications,standard_renamed,Deals,verified_standard_zoho,Applicant Notes,Multi-Line,,proposed_unverified,Applicant_Notes,candidate,false,Applicant-provided notes or internal summary.,,,Required Now,Application Intake,,MATRIX_2026-07-08
Rental Applications,standard_renamed,Deals,verified_standard_zoho,Application Received At,Date/Time,Application_Received_At,verified_live_mcp,Application_Received_At,governed_current,false,Completed application receipt time. Source: approved intake. Edit: authorized correction only. Required: at submission. Contracts: not mapped.,,,Production Core,Application Identity & Group,API type and tooltip verified; live required is false and mandatory enforcement is not configured by the current MCP. Final live layout section verified on 2026-07-29.,"MATRIX_2026-07-08,LIVE_CRM_MCP_2026-07-24,LIVE_CRM_MCP_2026-07-29"
Rental Applications,standard_renamed,Deals,verified_standard_zoho,Assistance Animal Request?,Checkbox,,proposed_unverified,Assistance_Animal_Request,candidate,false,Flag only; handle details carefully.,,,Required Now,Application Intake,,MATRIX_2026-07-08
Rental Applications,standard_renamed,Deals,verified_standard_zoho,Cosigner Required?,Pick List,,proposed_unverified,Cosigner_Required,candidate,false,Cosigner workflow status.,local_recommended,No=#2563EB | Offered=#0F766E | Required=#4F46E5 | Approved=#16A34A | Not Approved=#DC2626,Required Now,Application Intake,,MATRIX_2026-07-08
