module_display_label,module_type,module_api_name,module_api_name_status,field_label,field_type,api_name,api_name_status,proposed_api_name,disposition,required,help_text,picklist_scope,picklist_values_and_colors,phase,section,notes,source_ids
Vendors,standard,Vendors,verified_standard_zoho,Insurance / W9 Folder URL,URL,,proposed_unverified,Insurance_W9_Folder_URL,candidate,false,WorkDrive folder for vendor admin docs.,,,Phase 2 / Operations,Admin,,MATRIX_2026-07-08
Vendors,standard,Vendors,verified_standard_zoho,Notes,Multi-Line,,proposed_unverified,Notes,candidate,false,Internal vendor notes.,,,Phase 2 / Operations,Admin,,"MATRIX_2026-07-08,SETUP_SPEC"
Vendors,standard,Vendors,verified_standard_zoho,Primary Contact,Lookup,,proposed_unverified,Primary_Contact,candidate,false,Primary contact person.,,,Phase 2 / Operations,Contact,,MATRIX_2026-07-08
Vendors,standard,Vendors,verified_standard_zoho,Primary Email,Email,,proposed_unverified,Primary_Email,candidate,false,Main email.,,,Phase 2 / Operations,Contact,,MATRIX_2026-07-08
Vendors,standard,Vendors,verified_standard_zoho,Primary Phone,Phone,,proposed_unverified,Primary_Phone,candidate,false,Main phone.,,,Phase 2 / Operations,Contact,,MATRIX_2026-07-08
Vendors,standard,Vendors,verified_standard_zoho,Vendor Name,Single Line / Standard Vendor Name,,proposed_unverified,Vendor_Name,candidate,true,Company/vendor name.,,,Phase 2 / Operations,Vendor Identity,,"MATRIX_2026-07-08,SETUP_SPEC"
Vendors,standard,Vendors,verified_standard_zoho,Vendor Status,Pick List,,proposed_unverified,Vendor_Status,candidate,true,Vendor usability.,global_set,Active=#16A34A | Inactive=#6B7280 | Archived=#6B7280,Phase 2 / Operations,Vendor Identity,,"MATRIX_2026-07-08,SETUP_SPEC"
Vendors,standard,Vendors,verified_standard_zoho,Vendor Type,Pick List,,proposed_unverified,Vendor_Type,candidate,true,Vendor category.,local_module,Plumber=#2563EB | Electrician=#0F766E | HVAC=#4F46E5 | Appliance Repair=#7C3AED | General Contractor=#0891B2 | Handyman=#DB2777 | Cleaner=#65A30D | Painter=#EA580C | Pest Control=#92400E | Lawn/Snow=#16A34A | Legal=#EA580C | Insurance=#0F766E | Accounting/CPA=#4F46E5 | Other=#7C3AED,Phase 2 / Operations,Vendor Identity,,"MATRIX_2026-07-08,SETUP_SPEC"
Vendors,standard,Vendors,verified_standard_zoho,1099 Eligible?,Picklist,,not_proposed_unverified,,legacy_setup_candidate,false,Confirm with CPA.,local_recommended,Yes=#2563EB | No=#0F766E | Unknown=#6B7280 | N/A=#6B7280,,Compliance & Payment,Picklist source: Local,SETUP_SPEC
Vendors,standard,Vendors,verified_standard_zoho,Books Vendor ID,Text,,not_proposed_unverified,,legacy_setup_candidate,false,Zoho Books vendor ID.,,,,Compliance & Payment,,SETUP_SPEC
Vendors,standard,Vendors,verified_standard_zoho,Insurance Certificate Status,Picklist,,not_proposed_unverified,,legacy_setup_candidate,false,—,local_module,Not Requested=#D97706 | Requested=#D97706 | Received=#16A34A | Expired=#7C3AED | Waived=#6B7280 | N/A=#6B7280,,Compliance & Payment,Picklist source: Local: Insurance Certificate Status,SETUP_SPEC
Vendors,standard,Vendors,verified_standard_zoho,Insurance Expiration Date,Date,,not_proposed_unverified,,legacy_setup_candidate,false,Required if COI received.,,,,Compliance & Payment,,SETUP_SPEC
Vendors,standard,Vendors,verified_standard_zoho,License Number,Text,,not_proposed_unverified,,legacy_setup_candidate,false,For licensed trades.,,,,Compliance & Payment,,SETUP_SPEC
Vendors,standard,Vendors,verified_standard_zoho,W-9 On File?,Picklist,,not_proposed_unverified,,legacy_setup_candidate,false,Required for active recurring vendors.,global_set,Yes=#2563EB | No=#0F766E | N/A=#6B7280,,Compliance & Payment,Picklist source: Global: GH Yes/No/N/A,SETUP_SPEC
Vendors,standard,Vendors,verified_standard_zoho,Emergency Available?,Picklist,,not_proposed_unverified,,legacy_setup_candidate,false,—,local_recommended,Yes=#2563EB | No=#0F766E | Unknown=#6B7280 | N/A=#6B7280,,Contacts & Service,Picklist source: Local,SETUP_SPEC
Vendors,standard,Vendors,verified_standard_zoho,Preferred Vendor?,Checkbox,,not_proposed_unverified,,legacy_setup_candidate,false,—,,,,Contacts & Service,,SETUP_SPEC
Vendors,standard,Vendors,verified_standard_zoho,Primary Contact Name,Text,,not_proposed_unverified,,legacy_setup_candidate,false,"If separate person, create Contact only if needed.",,,,Contacts & Service,,SETUP_SPEC
Vendors,standard,Vendors,verified_standard_zoho,Service Area,Text,,not_proposed_unverified,,legacy_setup_candidate,false,—,,,,Contacts & Service,,SETUP_SPEC
Vendors,standard,Vendors,verified_standard_zoho,WorkDrive Vendor Folder,URL,,not_proposed_unverified,,legacy_setup_candidate,false,—,,,,Documents,,SETUP_SPEC
Vendors,standard,Vendors,verified_standard_zoho,Last Used Date,Date,,not_proposed_unverified,,legacy_setup_candidate,false,—,,,,Performance,,SETUP_SPEC
Vendors,standard,Vendors,verified_standard_zoho,Vendor Rating,Picklist,,not_proposed_unverified,,legacy_setup_candidate,false,—,local_recommended,5 - Excellent=#2563EB | 4 - Good=#0F766E | 3 - Okay=#4F46E5 | 2 - Poor=#7C3AED | 1 - Do Not Use=#DC2626 | Unknown=#6B7280,,Performance,Picklist source: Local,SETUP_SPEC
Vendors,standard,Vendors,verified_standard_zoho,Email,Standard Email,,not_proposed_unverified,,legacy_setup_candidate,false,—,,,,Vendor Summary,,SETUP_SPEC
Vendors,standard,Vendors,verified_standard_zoho,Phone,Standard Phone,,not_proposed_unverified,,legacy_setup_candidate,false,—,,,,Vendor Summary,,SETUP_SPEC
Vendors,standard,Vendors,verified_standard_zoho,Website,Standard URL,,not_proposed_unverified,,legacy_setup_candidate,false,—,,,,Vendor Summary,,SETUP_SPEC
