module_display_label,module_type,module_api_name,module_api_name_status,field_label,field_type,api_name,api_name_status,proposed_api_name,disposition,required,help_text,picklist_scope,picklist_values_and_colors,phase,section,notes,source_ids
Notices,custom,,tbd_from_live_module_metadata,Amount Demanded,Currency,,not_proposed_unverified,,legacy_setup_candidate,false,Use for late rent/nonpayment notices; Books remains ledger.,,,,Deadlines & Resolution,,SETUP_SPEC
Notices,custom,,tbd_from_live_module_metadata,Cure Deadline,Date,,not_proposed_unverified,,legacy_setup_candidate,false,Required for notices with cure periods.,,,,Deadlines & Resolution,,SETUP_SPEC
Notices,custom,,tbd_from_live_module_metadata,Resolution Date,Date,,not_proposed_unverified,,legacy_setup_candidate,false,Required if Resolved = true.,,,,Deadlines & Resolution,,SETUP_SPEC
Notices,custom,,tbd_from_live_module_metadata,Resolved?,Checkbox,,not_proposed_unverified,,legacy_setup_candidate,false,—,,,,Deadlines & Resolution,,SETUP_SPEC
Notices,custom,,tbd_from_live_module_metadata,Delivery Method,Picklist,,not_proposed_unverified,,legacy_setup_candidate,true,—,global_set,Email=#2563EB | Portal=#0F766E | Mail=#4F46E5 | Certified Mail=#7C3AED | Hand Delivery=#0891B2 | Posted on Door=#DB2777 | Text/SMS=#65A30D | Phone=#EA580C | Other=#92400E,,Delivery,Picklist source: Global: GH Delivery Method,SETUP_SPEC
Notices,custom,,tbd_from_live_module_metadata,Notice Date,Date,,not_proposed_unverified,,legacy_setup_candidate,true,Date notice was created/signed.,,,,Delivery,,SETUP_SPEC
Notices,custom,,tbd_from_live_module_metadata,Proof of Delivery Link,URL,,not_proposed_unverified,,legacy_setup_candidate,false,"Certified mail receipt, photo, email copy, etc.",,,,Delivery,,SETUP_SPEC
Notices,custom,,tbd_from_live_module_metadata,Service / Delivery Date,Date,,not_proposed_unverified,,legacy_setup_candidate,false,Actual date served/delivered.,,,,Delivery,,SETUP_SPEC
Notices,custom,,tbd_from_live_module_metadata,Notes,Multi-Line Text,,not_proposed_unverified,,legacy_setup_candidate,false,Keep factual; avoid emotional language.,,,,Documents,,SETUP_SPEC
Notices,custom,,tbd_from_live_module_metadata,Notice Document Link,URL,,not_proposed_unverified,,legacy_setup_candidate,false,Executed/sent PDF.,,,,Documents,,SETUP_SPEC
Notices,custom,,tbd_from_live_module_metadata,WorkDrive Notice Folder,URL,,not_proposed_unverified,,legacy_setup_candidate,false,—,,,,Documents,,SETUP_SPEC
Notices,custom,,tbd_from_live_module_metadata,Legal Review Required?,Checkbox,,not_proposed_unverified,,legacy_setup_candidate,false,Use for evictions/non-renewals/complex issues.,,,,Notice Summary,,SETUP_SPEC
Notices,custom,,tbd_from_live_module_metadata,Notice ID,Auto Number,,not_proposed_unverified,,legacy_setup_candidate,false,Optional secondary ID.,,,,Notice Summary,,SETUP_SPEC
Notices,custom,,tbd_from_live_module_metadata,Notice Name,Text - Custom Module Name,,not_proposed_unverified,,legacy_setup_candidate,true,Format: Apt 3 - Tenant - Late Rent Notice - 2026-08-05.,,,,Notice Summary,,SETUP_SPEC
Notices,custom,,tbd_from_live_module_metadata,Notice Status,Picklist,,not_proposed_unverified,,legacy_setup_candidate,true,—,local_module,Draft=#2563EB | Sent/Served=#0F766E | Cure Period Running=#4F46E5 | Resolved=#16A34A | Escalated=#EA580C | Voided=#6B7280 | Archived=#6B7280,,Notice Summary,Picklist source: Local: Notice Status,SETUP_SPEC
Notices,custom,,tbd_from_live_module_metadata,Notice Type,Picklist,,not_proposed_unverified,,legacy_setup_candidate,true,Use legally accurate notice types.,local_module,Late Rent Notice=#2563EB | Lease Violation=#0F766E | Notice to Cure=#4F46E5 | Notice to Enter=#7C3AED | Non-Renewal=#EA580C | Maintenance Notice=#DB2777 | Move-Out Instructions=#65A30D | Deposit Disposition=#EA580C | Other=#92400E,,Notice Summary,Picklist source: Local: Notice Type,SETUP_SPEC
Notices,custom,,tbd_from_live_module_metadata,Lease,Lookup - Leases,,not_proposed_unverified,,legacy_setup_candidate,false,—,,,,Parties & Location,,SETUP_SPEC
Notices,custom,,tbd_from_live_module_metadata,Property,Lookup - Properties/Accounts,,not_proposed_unverified,,legacy_setup_candidate,true,—,,,,Parties & Location,,SETUP_SPEC
Notices,custom,,tbd_from_live_module_metadata,Tenant Contact,Lookup - Contacts,,not_proposed_unverified,,legacy_setup_candidate,false,—,,,,Parties & Location,,SETUP_SPEC
Notices,custom,,tbd_from_live_module_metadata,Unit,Lookup - Units,,not_proposed_unverified,,legacy_setup_candidate,false,Required unless property-wide notice.,,,,Parties & Location,,SETUP_SPEC
Notices,custom,,tbd_from_live_module_metadata,Vendor / Other Party,Lookup - Vendors,,not_proposed_unverified,,legacy_setup_candidate,false,For vendor-related notices only.,,,,Parties & Location,,SETUP_SPEC
