module_display_label,module_type,module_api_name,module_api_name_status,field_label,field_type,api_name,api_name_status,proposed_api_name,disposition,required,help_text,picklist_scope,picklist_values_and_colors,phase,section,notes,source_ids
Contacts,standard,Contacts,verified_standard_zoho,Current Mailing Address,Address,,proposed_unverified,Current_Mailing_Address,candidate,false,Applicant/tenant current mailing address.,,,Required Now,Address & Emergency,,MATRIX_2026-07-08
Contacts,standard,Contacts,verified_standard_zoho,Emergency Contact Name,Single Line,,proposed_unverified,Emergency_Contact_Name,candidate,false,Emergency contact person.,,,Phase 2 / Portal,Address & Emergency,,"MATRIX_2026-07-08,SETUP_SPEC"
Contacts,standard,Contacts,verified_standard_zoho,Emergency Contact Phone,Phone,,proposed_unverified,Emergency_Contact_Phone,candidate,false,Emergency contact phone.,,,Phase 2 / Portal,Address & Emergency,,"MATRIX_2026-07-08,SETUP_SPEC"
Contacts,standard,Contacts,verified_standard_zoho,Emergency Contact Relationship,Single Line,,proposed_unverified,Emergency_Contact_Relationship,candidate,false,Relationship to contact.,,,Phase 2 / Portal,Address & Emergency,,"MATRIX_2026-07-08,SETUP_SPEC"
Contacts,standard,Contacts,verified_standard_zoho,Forwarding Address,Address,,proposed_unverified,Forwarding_Address,candidate,false,Forwarding address for deposit accounting after move-out.,,,Phase 2 / Portal,Address & Emergency,,MATRIX_2026-07-08
Contacts,standard,Contacts,verified_standard_zoho,Forwarding Address Received Date,Date,,proposed_unverified,Forwarding_Address_Received_Date,candidate,false,Date forwarding address received.,,,Phase 2 / Portal,Address & Emergency,,MATRIX_2026-07-08
Contacts,standard,Contacts,verified_standard_zoho,Email,Email,Email,verified_live_mcp,Email,governed_current,false,Primary email. Use as the manual Zoho Contracts Contact Email Address source; verify before contract request.,,,Production Reconciled,Communication,Live standard field verified; no duplicate contact-email field was created.,"MATRIX_2026-07-08,SETUP_SPEC,LIVE_CRM_MCP_2026-07-24"
Contacts,standard,Contacts,verified_standard_zoho,Email Operational Consent?,Checkbox,Email_Operational_Consent,verified_live_mcp,Email_Operational_Consent,governed_current,false,Operational email consent if collected.,,,Production Reconciled,Communication & Consent,Created and read back in production CRM; live required is false; history tracking is off. Operational flag only: no consent source/timestamp/revocation evidence. Never use as marketing-consent proof or sole messaging authorization.,"MATRIX_2026-07-08,LIVE_CRM_MCP_2026-07-24"
Contacts,standard,Contacts,verified_standard_zoho,Phone,Phone / Standard,,proposed_unverified,Phone,candidate,true,Primary phone.,,,Required Now,Communication,,MATRIX_2026-07-08
Contacts,standard,Contacts,verified_standard_zoho,Portal Email,Email,,proposed_unverified,Portal_Email,candidate,false,Email used for Creator/Sites/Books portal if different.,,,Required Now,Communication,,"MATRIX_2026-07-08,SETUP_SPEC"
Contacts,standard,Contacts,verified_standard_zoho,Portal Invite Sent At,Date/Time,Portal_Invite_Sent_At,verified_live_mcp,Portal_Invite_Sent_At,governed_current,false,Timestamp portal invite was sent.,,,Production Reconciled,Portal & Integrations,Created and read back in production CRM; live required is false.,"MATRIX_2026-07-08,LIVE_CRM_MCP_2026-07-24"
