module_display_label,module_type,module_api_name,module_api_name_status,field_label,field_type,api_name,api_name_status,proposed_api_name,disposition,required,help_text,picklist_scope,picklist_values_and_colors,phase,section,notes,source_ids
Lease Documents / Addenda,custom_candidate,,tbd_from_live_module_metadata,Document Name,Single Line / Module Name,,proposed_unverified,Document_Name,candidate,true,Readable document/addendum record name.,,,Phase 2 / Contracts Tracking,Document Identity,,MATRIX_2026-07-08
Lease Documents / Addenda,custom_candidate,,tbd_from_live_module_metadata,Document Status,Pick List,,proposed_unverified,Document_Status,candidate,true,Document lifecycle status.,local_recommended,Draft Needed=#2563EB | Drafted=#0F766E | In Review=#4F46E5 | Approved=#16A34A | Sent for Signature=#7C3AED | Partially Signed=#D97706 | Fully Signed=#7C3AED | Active=#16A34A | Superseded=#6B7280 | Cancelled=#6B7280 | N/A=#6B7280,Phase 2 / Contracts Tracking,Document Identity,,MATRIX_2026-07-08
Lease Documents / Addenda,custom_candidate,,tbd_from_live_module_metadata,Document Type,Pick List,,proposed_unverified,Document_Type,candidate,true,Legal/packet document type.,local_recommended,Residential Lease=#2563EB | ACH Acknowledgment=#0F766E | Pet / Assistance Animal Addendum=#4F46E5 | Roommate Addendum=#7C3AED | Storage Addendum=#0891B2 | Cosigner Guaranty=#DB2777 | Move-In Checklist=#65A30D | Move-Out Checklist=#EA580C | Renewal=#92400E | Amendment=#16A34A | Extension=#2563EB | Termination Letter=#0F766E | Other=#4F46E5,Phase 2 / Contracts Tracking,Document Identity,,MATRIX_2026-07-08
Lease Documents / Addenda,custom_candidate,,tbd_from_live_module_metadata,Effective Date,Date,,proposed_unverified,Effective_Date,candidate,false,Document/addendum effective date.,,,Phase 2 / Contracts Tracking,Document Identity,,MATRIX_2026-07-08
Lease Documents / Addenda,custom_candidate,,tbd_from_live_module_metadata,Included in Packet?,Checkbox,,proposed_unverified,Included_in_Packet,candidate,false,Included in lease packet or attached separately.,,,Phase 2 / Contracts Tracking,Document Identity,,MATRIX_2026-07-08
Lease Documents / Addenda,custom_candidate,,tbd_from_live_module_metadata,Lease,Lookup,,proposed_unverified,Lease,candidate,true,Parent lease.,,,Phase 2 / Contracts Tracking,Document Identity,,MATRIX_2026-07-08
Lease Documents / Addenda,custom_candidate,,tbd_from_live_module_metadata,Required?,Checkbox,,proposed_unverified,Required,candidate,true,Required for this tenancy.,,,Phase 2 / Contracts Tracking,Document Identity,,MATRIX_2026-07-08
Lease Documents / Addenda,custom_candidate,,tbd_from_live_module_metadata,Signed PDF URL,URL,,proposed_unverified,Signed_PDF_URL,candidate,false,Final signed PDF link.,,,Phase 2 / Contracts Tracking,Document Identity,,MATRIX_2026-07-08
Lease Documents / Addenda,custom_candidate,,tbd_from_live_module_metadata,WorkDrive Folder URL,URL,,proposed_unverified,WorkDrive_Folder_URL,candidate,false,Folder for this document.,,,Phase 2 / Contracts Tracking,Document Identity,,MATRIX_2026-07-08
Lease Documents / Addenda,custom_candidate,,tbd_from_live_module_metadata,Zoho Contracts Contract ID,Single Line,,proposed_unverified,Zoho_Contracts_Contract_ID,candidate,false,Contracts ID for this document.,,,Phase 2 / Contracts Tracking,Document Identity,,MATRIX_2026-07-08
Lease Documents / Addenda,custom_candidate,,tbd_from_live_module_metadata,Attorney Review Required?,Checkbox,,proposed_unverified,Attorney_Review_Required,candidate,false,Check if document is nonstandard or legally sensitive.,,,Phase 2 / Contracts Tracking,Review,,MATRIX_2026-07-08
Lease Documents / Addenda,custom_candidate,,tbd_from_live_module_metadata,Review Notes,Multi-Line,,proposed_unverified,Review_Notes,candidate,false,Internal review notes.,,,Phase 2 / Contracts Tracking,Review,,MATRIX_2026-07-08
Lease Documents / Addenda,custom_candidate,,tbd_from_live_module_metadata,Cosigner Signature Required?,Checkbox,,proposed_unverified,Cosigner_Signature_Required,candidate,false,Cosigner signature needed.,,,Phase 2 / Contracts Tracking,Signing,,MATRIX_2026-07-08
Lease Documents / Addenda,custom_candidate,,tbd_from_live_module_metadata,Fully Signed At,Date/Time,,proposed_unverified,Fully_Signed_At,candidate,false,Completion timestamp.,,,Phase 2 / Contracts Tracking,Signing,,MATRIX_2026-07-08
Lease Documents / Addenda,custom_candidate,,tbd_from_live_module_metadata,Landlord Signature Required?,Checkbox,,proposed_unverified,Landlord_Signature_Required,candidate,false,Landlord signature needed.,,,Phase 2 / Contracts Tracking,Signing,,MATRIX_2026-07-08
Lease Documents / Addenda,custom_candidate,,tbd_from_live_module_metadata,Tenant Signature Required?,Checkbox,,proposed_unverified,Tenant_Signature_Required,candidate,false,Tenant signature needed.,,,Phase 2 / Contracts Tracking,Signing,,MATRIX_2026-07-08
