module_display_label,module_type,module_api_name,module_api_name_status,field_label,field_type,api_name,api_name_status,proposed_api_name,disposition,required,help_text,picklist_scope,picklist_values_and_colors,phase,section,notes,source_ids
Zillow Intake Events,custom_optional_integration_log,Zillow_Intake_Events,repo_runtime_default_needs_live_metadata,Event Name,Single Line / Module Name,Name,repo_runtime_default_needs_live_metadata,Name,optional_runtime_candidate,true,Technical display name for the sanitized intake event.,,,Optional - Disabled by Default,,Runtime mapping only; live module/field existence has not been proven. | Do not enable merely to create a second source of truth.,REPO_ZILLOW_RUNTIME_DEFAULTS
Zillow Intake Events,custom_optional_integration_log,Zillow_Intake_Events,repo_runtime_default_needs_live_metadata,External Event Key,Single Line,External_Event_Key,repo_runtime_default_needs_live_metadata,External_Event_Key,optional_runtime_candidate,true,Stable unique key used to prevent duplicate intake-event records.,,,Optional - Disabled by Default,,Runtime mapping only; live module/field existence has not been proven. | Do not enable merely to create a second source of truth.,REPO_ZILLOW_RUNTIME_DEFAULTS
Zillow Intake Events,custom_optional_integration_log,Zillow_Intake_Events,repo_runtime_default_needs_live_metadata,Lead Reference,Single Line,Lead_Reference,repo_runtime_default_needs_live_metadata,Lead_Reference,optional_runtime_candidate,false,Sanitized reference that links the technical event to the related Lead workflow.,,,Optional - Disabled by Default,,Runtime mapping only; live module/field existence has not been proven. | Do not enable merely to create a second source of truth.,REPO_ZILLOW_RUNTIME_DEFAULTS
Zillow Intake Events,custom_optional_integration_log,Zillow_Intake_Events,repo_runtime_default_needs_live_metadata,Source,Pick List,Source,repo_runtime_default_needs_live_metadata,Source,optional_runtime_candidate,false,Identify the technical source of the intake event.,local_recommended,Zillow=#2563EB,Optional - Disabled by Default,,Runtime mapping only; live module/field existence has not been proven. | Do not enable merely to create a second source of truth.,REPO_ZILLOW_RUNTIME_DEFAULTS
Zillow Intake Events,custom_optional_integration_log,Zillow_Intake_Events,repo_runtime_default_needs_live_metadata,Received At,Date/Time,Received_At,repo_runtime_default_needs_live_metadata,Received_At,optional_runtime_candidate,false,Record when the intake endpoint received the source event.,,,Optional - Disabled by Default,,Runtime mapping only; live module/field existence has not been proven. | Do not enable merely to create a second source of truth.,REPO_ZILLOW_RUNTIME_DEFAULTS
Zillow Intake Events,custom_optional_integration_log,Zillow_Intake_Events,repo_runtime_default_needs_live_metadata,Status,Pick List,Status,repo_runtime_default_needs_live_metadata,Status,optional_runtime_candidate,false,Record the technical processing outcome for the intake event.,local_recommended,Dry Run Accepted=#16A34A | Processed=#0F766E | Failed=#DC2626,Optional - Disabled by Default,,Runtime mapping only; live module/field existence has not been proven. | Do not enable merely to create a second source of truth.,REPO_ZILLOW_RUNTIME_DEFAULTS
Zillow Intake Events,custom_optional_integration_log,Zillow_Intake_Events,repo_runtime_default_needs_live_metadata,CRM Lead ID,Single Line,CRM_Lead_ID,repo_runtime_default_needs_live_metadata,CRM_Lead_ID,optional_runtime_candidate,false,"Store the related CRM Lead identifier only inside live CRM, not in GitHub samples.",,,Optional - Disabled by Default,,Runtime mapping only; live module/field existence has not been proven. | Do not enable merely to create a second source of truth.,REPO_ZILLOW_RUNTIME_DEFAULTS
Zillow Intake Events,custom_optional_integration_log,Zillow_Intake_Events,repo_runtime_default_needs_live_metadata,Raw Field Keys,Multi-Line,Raw_Field_Keys,repo_runtime_default_needs_live_metadata,Raw_Field_Keys,optional_runtime_candidate,false,"Store only received field names, not raw private payload values.",,,Optional - Disabled by Default,,Runtime mapping only; live module/field existence has not been proven. | Do not enable merely to create a second source of truth.,REPO_ZILLOW_RUNTIME_DEFAULTS
Zillow Intake Events,custom_optional_integration_log,Zillow_Intake_Events,repo_runtime_default_needs_live_metadata,Payload Hash,Single Line,Payload_Hash,repo_runtime_default_needs_live_metadata,Payload_Hash,optional_runtime_candidate,false,Store a one-way payload hash for replay and audit diagnostics.,,,Optional - Disabled by Default,,Runtime mapping only; live module/field existence has not been proven. | Do not enable merely to create a second source of truth.,REPO_ZILLOW_RUNTIME_DEFAULTS
Zillow Intake Events,custom_optional_integration_log,Zillow_Intake_Events,repo_runtime_default_needs_live_metadata,Routing Warnings,Multi-Line,Routing_Warnings,repo_runtime_default_needs_live_metadata,Routing_Warnings,optional_runtime_candidate,false,Store sanitized routing warnings without tenant private data.,,,Optional - Disabled by Default,,Runtime mapping only; live module/field existence has not been proven. | Do not enable merely to create a second source of truth.,REPO_ZILLOW_RUNTIME_DEFAULTS
